OpenTime,ScaleReading,nReps
30,0.27000000000000002,100
40,0.59999999999999998,100
50,0.94999999999999996,100
60,1.3300000000000001,100
70,1.71,100
80,2.1099999999999999,100
90,2.5299999999999998,100
100,2.9700000000000002,100
110,3.4300000000000002,100
120,3.9199999999999999,100
130,4.4299999999999997,100
140,5,100
150,5.5499999999999998,100
150,6.1299999999999999,100
140,6.6600000000000001,100
130,7.1799999999999997,100
120,7.6799999999999997,100
110,8.1099999999999994,100
100,8.5600000000000005,100
90,8.9600000000000009,100
80,9.3399999999999999,100
70,9.7200000000000006,100
60,10.109999999999999,100
50,10.470000000000001,100
40,10.789999999999999,100
30,11.07,100
