OpenTime,ScaleReading,nReps
30,0.37,100
40,0.82999999999999996,100
50,1.27,100
60,1.74,100
70,2.1800000000000002,100
80,2.6800000000000002,100
90,3.1699999999999999,100
100,3.73,100
110,4.2999999999999998,100
120,4.9100000000000001,100
130,5.5300000000000002,100
140,6.1799999999999997,100
150,6.8600000000000003,100
150,7.5199999999999996,100
140,8.1799999999999997,100
130,8.8000000000000007,100
120,9.4000000000000004,100
110,9.9600000000000009,100
100,10.51,100
90,11.02,100
80,11.48,100
70,11.949999999999999,100
60,12.380000000000001,100
50,12.800000000000001,100
40,13.26,100
30,13.65,100
