VideoFrameCount,LEDAsync,ArduinoTime,BonsaiTime
832,98215,40546,60135360
833,98207,40596,60135391.6416
834,98180,40626,60135440.128
835,98446,40656,60135473.088
836,98230,40696,60135505.472
837,98813,40736,60135536.6272
838,98087,40767,60135584.1024
839,97971,40807,60135615.8336
840,97826,40837,60135647.2704
841,97523,40867,60135679.1296
842,96881,40918,60135710.7712
843,96662,40948,60135759.9232
844,96668,40978,60135791.2704
845,97491,41008,60135824.4992
846,99022,41058,60135855.1552
847,99710,41088,60135904.0896
848,98365,41128,60135936.4608
849,97983,41158,60135968.3328
850,99174,41188,60135999.168
851,99895,41238,60136032.2432
852,99554,41269,60136079.36
853,98367,41299,60136112.4608
854,102703,41329,60136143.9872
855,100523,41379,60136176.1664
856,100113,41409,60136225.28
857,101806,41440,60136255.8976
858,100186,41480,60136287.6672
859,100146,41510,60136319.488
860,173081,41560,60136352.4608
861,106955,41590,60136400.8704
862,100146,41620,60136431.7312
863,100558,41650,60136464.128
864,98140,41700,60136495.7952
865,99635,41730,60136543.6672
866,164191,41771,60136575.7952
867,192925,41801,60136608.256
868,160037,41831,60136639.5648
869,194973,41881,60136672.4992
870,98654,41911,60136720.2048
871,110372,41942,60136751.4624
872,225965,41972,60136784.6144
873,143294,42022,60136815.6288
874,99270,42052,60136864.3712
875,100073,42082,60136895.9488
876,101531,42122,60136927.4624
877,168664,42152,60136960.448
878,226139,42202,60136992.9984
879,112118,42232,60137039.936
880,103648,42262,60137072.2432
881,106769,42293,60137104.1152
882,104355,42343,60137135.3728
883,171132,42373,60137184.4352
884,136427,42413,60137216.0512
885,99868,42443,60137248.512
886,100738,42494,60137279.7824
887,99801,42524,60137329.6512
888,99487,42554,60137360.2688
889,102811,42584,60137392.0896
890,110462,42614,60137423.5648
891,131834,42664,60137456.6784
892,140500,42694,60137505.0496
893,134279,42724,60137535.9744
894,119601,42764,60137567.104
895,164457,42805,60137598.7456
896,250363,42845,60137648.0128
897,101560,42875,60137679.6032
898,110861,42905,60137711.36
899,119518,42935,60137743.104
900,231967,42986,60137775.232
901,306242,43016,60137825.4336
902,287594,43046,60137855.8464
903,283841,43086,60137888.9088
904,284308,43126,60137921.088
905,282544,43166,60137968.0896
906,290485,43196,60138001.3312
907,303106,43226,60138032.3456
908,303958,43256,60138064.5248
909,283561,43307,60138096.6144
910,282664,43337,60138144.2176
911,282789,43367,60138175.6416
912,328656,43407,60138208.7296
913,294523,43447,60138239.9488
914,165440,43478,60138287.808
915,101756,43518,60138319.8848
916,98707,43548,60138351.8208
917,119454,43578,60138384.9088
918,157506,43628,60138416.5376
919,101223,43658,60138464.2304
920,119511,43688,60138496.7168
921,102578,43728,60138528.4992
922,98562,43768,60138560.3072
923,120875,43808,60138607.1552
924,204814,43839,60138639.7568
925,149796,43869,60138671.552
926,102139,43899,60138704.32
927,100429,43949,60138736.192
928,98715,43979,60138783.1552
929,117578,44010,60138815.3344
930,159760,44050,60138847.68
931,124677,44090,60138880.8192
932,101239,44120,60138928.8704
933,101130,44160,60138959.7568
934,100115,44190,60138993.344
935,168523,44220,60139025.3568
936,312033,44270,60139056.4096
937,304188,44300,60139104.5632
938,177960,44331,60139136.6528
939,102692,44361,60139168.5888
940,105377,44411,60139199.9744
941,133965,44451,60139247.6032
942,194926,44481,60139281.9072
943,181274,44512,60139312.5632
944,109661,44542,60139344.8576
945,111577,44592,60139377.6
946,125817,44622,60139424.1792
947,98237,44652,60139456.3328
948,99288,44682,60139488.1536
949,148696,44732,60139520.4736
950,132999,44762,60139569.0112
951,101668,44802,60139599.936
952,99187,44832,60139632
953,98891,44863,60139663.3856
954,171930,44913,60139694.9248
955,163920,44943,60139742.9888
956,99445,44973,60139776.8192
957,101576,45003,60139807.4496
958,99728,45054,60139840.6656
959,99051,45084,60139888.6656
960,137634,45124,60139921.1776
961,108421,45154,60139952.4096
962,100910,45184,60139984.9344
963,99586,45234,60140017.4208
964,99138,45264,60140064.9984
965,99581,45294,60140095.7824
966,107296,45324,60140128.3072
967,107589,45375,60140160.7552
968,98642,45405,60140208.7552
969,98877,45445,60140240.1792
970,98804,45475,60140272.4352
971,98479,45526,60140305.2416
972,98051,45556,60140353.1136
973,97991,45586,60140384.7552
974,98072,45616,60140417.1904
975,97813,45646,60140448.2432
976,97809,45696,60140481.3696
977,98675,45726,60140528.3968
978,98947,45766,60140560.96
979,99268,45796,60140592.4864
980,99852,45846,60140624.0128
981,100249,45877,60140672.5376
982,100360,45907,60140703.6928
983,100011,45937,60140737.7792
984,136343,45967,60140769.2032
985,285013,46017,60140801.4464
986,285285,46048,60140848.896
987,284649,46088,60140880.7296
988,284404,46118,60140913.0368
989,284744,46168,60140944.6784
990,284803,46198,60140993.1392
991,283429,46228,60141024.1664
992,282403,46258,60141057.7408
993,282353,46288,60141089.5872
994,282582,46338,60141120.768
995,283118,46368,60141168.0896
996,284362,46409,60141200.0896
997,285559,46439,60141233.8176
998,255599,46479,60141265.728
999,103471,46519,60141312.3072
1000,209109,46550,60141344.3072
1001,204673,46580,60141376.6912
1002,111830,46610,60141409.1648
1003,101813,46660,60141440.3968
1004,102100,46690,60141490.1504
1005,105507,46720,60141521.0112
1006,151294,46760,60141552.8704
1007,312349,46810,60141586.2144
1008,444047,46840,60141633.152
1009,329835,46870,60141664.2048
1010,118023,46901,60141695.7056
1011,110501,46931,60141727.872
1012,121833,46981,60141759.104
1013,209424,47011,60141808.2304
1014,264053,47041,60141840.3456
1015,380108,47072,60141871.9744
1016,179046,47122,60141904.0384
1017,99124,47152,60141953.2672
1018,126244,47192,60141984.1408
1019,103122,47222,60142017.8688
1020,114183,47252,60142048.192
1021,148865,47302,60142081.5616
1022,196603,47332,60142129.5232
1023,165047,47372,60142161.4464
1024,107272,47403,60142193.5616
1025,112196,47443,60142224.5504
1026,117175,47473,60142273.1008
1027,146580,47513,60142304.704
1028,207384,47543,60142336.512
1029,143345,47574,60142368.8832
1030,101514,47624,60142400.2048
1031,103216,47654,60142448.2304
1032,171091,47684,60142481.2928
1033,182081,47724,60142512.2944
1034,100938,47764,60142545.6256
1035,102698,47794,60142593.3696
1036,101155,47834,60142624.2432
1037,100498,47864,60142657.216
1038,99197,47894,60142688.64
1039,99189,47945,60142720.8064
1040,106431,47975,60142769.2416
1041,165010,48005,60142800.256
1042,237537,48045,60142833.1264
1043,172643,48086,60142865.7152
1044,107047,48116,60142912.832
1045,98537,48156,60142944.192
1046,108514,48186,60142976.6144
1047,222452,48216,60143008.7296
1048,121106,48266,60143041.5744
1049,99471,48296,60143088.9216
1050,99324,48326,60143120.704
1051,98179,48356,60143152.0384
1052,98304,48406,60143185.0112
1053,110294,48437,60143232.7168
1054,98962,48477,60143264.5888
1055,98994,48507,60143296.6784
1056,98715,48557,60143328.4608
1057,98504,48587,60143376.704
1058,98361,48618,60143408.1152
1059,97911,48648,60143441.4976
1060,98042,48678,60143473.1264
1061,98083,48728,60143504.8576
1062,98091,48768,60143553.8944
1063,97548,48798,60143585.664
1064,97554,48828,60143616.2816
1065,97732,48878,60143650.2016
1066,97812,48908,60143696.2304
1067,97443,48939,60143728.256
1068,98075,48969,60143760.8704
1069,97995,48999,60143792.9472
1070,98277,49049,60143825.6256
1071,98266,49079,60143874.0224
1072,97857,49120,60143905.0112
1073,97634,49150,60143936.96
1074,97390,49200,60143969.7024
1075,97376,49230,60144016.704
1076,97241,49260,60144049.5104
1077,96992,49290,60144080.5248
1078,96634,49330,60144113.9072
1079,96397,49370,60144146.3552
1080,96852,49400,60144193.2416
1081,96679,49440,60144224.8704
1082,96570,49471,60144257.3184
1083,97685,49521,60144289.8048
1084,98241,49551,60144337.5232
1085,97459,49581,60144368.7168
1086,99173,49611,60144401.1008
1087,99431,49642,60144432.3584
1088,98533,49692,60144465.2416
1089,98233,49722,60144512.832
1090,98000,49752,60144544.2176
1091,98323,49792,60144576.4992
1092,98017,49832,60144608.4608
1093,97810,49872,60144656.8704
1094,97427,49902,60144688.9472
1095,97746,49932,60144720.768
1096,212063,49973,60144755.7376
1097,282301,50013,60144788.096
1098,284187,50043,60144833.4208
1099,285044,50073,60144864.4736
1100,284882,50113,60144897.5232
