Wheel,LastSyncPulseTime,ArduinoTime,BonsaiTime,RenderFrameCount
8513,39385,40576,60135416.064,2442
8512,39385,40586,60135426.2784,2443
8510,39385,40596,60135436.4032,2443
8508,39385,40606,60135446.6432,2444
8506,39385,40616,60135456.8704,2445
8505,39385,40626,60135466.0096,2445
8503,39385,40636,60135476.352,2446
8501,39385,40646,60135486.7072,2446
8500,39385,40656,60135496.6656,2447
8499,39385,40666,60135505.9712,2448
8498,39385,40676,60135516.1088,2448
8497,39385,40686,60135526.3872,2449
8496,39385,40696,60135536.512,2449
8496,39385,40706,60135545.664,2450
8496,39385,40716,60135556.1984,2451
8496,39385,40726,60135566.1568,2451
8496,39385,40736,60135576.3712,2452
8496,39385,40747,60135586.5088,2452
8497,39385,40757,60135596.672,2453
8497,39385,40767,60135606.9504,2454
8498,39385,40777,60135617.216,2454
8499,39385,40787,60135627.3792,2455
8500,39385,40797,60135636.6208,2455
8502,39385,40807,60135646.8096,2456
8504,39385,40817,60135657.1136,2457
8505,39385,40827,60135667.328,2457
8507,39385,40837,60135676.4032,2458
8509,39385,40847,60135686.5664,2458
8512,39385,40857,60135696.8192,2459
8514,39385,40867,60135707.0336,2460
8516,39385,40877,60135716.1856,2460
8519,39385,40887,60135726.4128,2461
8521,39385,40897,60135736.6784,2461
8524,39385,40907,60135746.7776,2462
8526,39385,40918,60135757.1456,2463
8529,39385,40928,60135767.2832,2463
8532,39385,40938,60135777.472,2464
8534,39385,40948,60135787.6608,2465
8537,39385,40958,60135798.0416,2465
8540,39385,40968,60135807.3984,2466
8543,39385,40978,60135817.3952,2466
8546,39385,40988,60135827.52,2467
8550,39385,40998,60135837.8112,2468
8553,39385,41008,60135846.9504,2468
8556,39385,41018,60135857.1008,2469
8559,39385,41028,60135867.2896,2469
8563,39385,41038,60135877.7984,2470
8566,39385,41048,60135886.7456,2470
8570,39385,41058,60135896.9344,2471
8573,39385,41068,60135907.1744,2472
8577,39385,41078,60135917.3248,2472
8581,39385,41088,60135926.5536,2473
8585,39385,41098,60135936.7552,2474
8589,39385,41108,60135947.0848,2474
8593,39385,41118,60135957.12,2475
8597,39385,41128,60135967.3344,2475
8601,39385,41138,60135976.6912,2476
8605,39385,41148,60135986.8544,2477
8609,39385,41158,60135997.0688,2477
8614,39385,41168,60136007.3472,2478
8617,39385,41178,60136016.4352,2478
8622,39385,41188,60136027.2,2479
8626,39385,41198,60136036.8768,2480
8631,39385,41208,60136047.0528,2480
8635,39385,41218,60136056.2432,2481
8640,39385,41228,60136066.4192,2481
8644,39385,41238,60136076.672,2482
8649,39385,41248,60136087.0656,2483
