Item1.Item1.Id,Item1.Item1.Duration,Item1.Item1.Size,Item1.Item1.Colour1,Item1.Item1.Colour2,Item1.Item1.numDots1,Item1.Item1.numDots2,Item1.Item1.dotLifeBool,Item1.Item1.dotLifetime,Item1.Item1.Contrast1,Item1.Item1.Contrast2,Item1.Item1.VelX1,Item1.Item1.VelX2,Item1.Item1.VelY1,Item1.Item1.VelY2,Item1.Item1.Coherence1,Item1.Item1.Coherence2,Item1.Item2,Item2
4,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:30:24.8579456,58888
5,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,22.6274,22.6274,100,100,16:30:26.8589824,60896
2,1,2,0,1,573,573,0,1,1,1,0,0,-32,-32,100,100,16:30:28.8595456,62903
7,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,32,32,100,100,16:30:30.8594816,64901
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:30:32.8597376,66909
3,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,-22.6274,-22.6274,100,100,16:30:34.8599936,68917
0,1,2,0,1,573,573,0,1,1,1,-32,-32,0,0,100,100,16:30:36.8602368,70924
1,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,-22.6274,-22.6274,100,100,16:30:38.8605312,72922
6,1,2,0,1,573,573,0,1,1,1,0,0,32,32,100,100,16:30:40.8607360,74930
4,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:30:42.8624000,76938
0,1,2,0,1,573,573,0,1,1,1,-32,-32,0,0,100,100,16:30:44.8612352,78946
3,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,-22.6274,-22.6274,100,100,16:30:46.8614784,80944
5,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,22.6274,22.6274,100,100,16:30:48.8617216,82952
2,1,2,0,1,573,573,0,1,1,1,0,0,-32,-32,100,100,16:30:50.8619904,84960
7,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,32,32,100,100,16:30:52.8635392,86967
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:30:54.8624768,88965
6,1,2,0,1,573,573,0,1,1,1,0,0,32,32,100,100,16:30:56.8627200,90973
1,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,-22.6274,-22.6274,100,100,16:30:58.8629760,92981
2,1,2,0,1,573,573,0,1,1,1,0,0,-32,-32,100,100,16:31:00.8646144,94988
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:31:02.8636672,96986
6,1,2,0,1,573,573,0,1,1,1,0,0,32,32,100,100,16:31:04.8638592,98994
7,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,32,32,100,100,16:31:06.8641536,101002
1,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,-22.6274,-22.6274,100,100,16:31:08.8656128,103010
3,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,-22.6274,-22.6274,100,100,16:31:10.8644864,105008
5,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,22.6274,22.6274,100,100,16:31:12.8647168,107016
0,1,2,0,1,573,573,0,1,1,1,-32,-32,0,0,100,100,16:31:14.8649856,109024
4,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:31:16.8652800,111031
5,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,22.6274,22.6274,100,100,16:31:18.8669696,113029
1,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,-22.6274,-22.6274,100,100,16:31:20.8657152,115037
2,1,2,0,1,573,573,0,1,1,1,0,0,-32,-32,100,100,16:31:22.8659584,117045
3,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,-22.6274,-22.6274,100,100,16:31:24.8662656,119042
6,1,2,0,1,573,573,0,1,1,1,0,0,32,32,100,100,16:31:26.8664704,121050
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:31:28.8667264,123058
0,1,2,0,1,573,573,0,1,1,1,-32,-32,0,0,100,100,16:31:30.8669952,125066
4,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:31:32.8672128,127064
7,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,32,32,100,100,16:31:34.8674560,129072
5,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,22.6274,22.6274,100,100,16:31:36.8690944,131080
6,1,2,0,1,573,573,0,1,1,1,0,0,32,32,100,100,16:31:38.8679680,133078
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:31:40.8682496,135085
7,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,32,32,100,100,16:31:42.8684416,137093
4,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:31:44.8686976,139091
3,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,-22.6274,-22.6274,100,100,16:31:46.8691968,141099
2,1,2,0,1,573,573,0,1,1,1,0,0,-32,-32,100,100,16:31:48.8693504,143106
0,1,2,0,1,573,573,0,1,1,1,-32,-32,0,0,100,100,16:31:50.8694400,145114
1,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,-22.6274,-22.6274,100,100,16:31:52.8696960,147112
2,1,2,0,1,573,573,0,1,1,1,0,0,-32,-32,100,100,16:31:54.8727680,149120
4,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:31:56.8710144,151128
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:31:58.8708736,153126
7,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,32,32,100,100,16:32:00.8706816,155134
5,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,22.6274,22.6274,100,100,16:32:02.8709376,157142
0,1,2,0,1,573,573,0,1,1,1,-32,-32,0,0,100,100,16:32:04.8712320,159149
1,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,-22.6274,-22.6274,100,100,16:32:06.8714496,161147
3,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,-22.6274,-22.6274,100,100,16:32:08.8716800,163155
6,1,2,0,1,573,573,0,1,1,1,0,0,32,32,100,100,16:32:10.8719360,165163
5,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,22.6274,22.6274,100,100,16:32:12.8735616,167170
7,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,32,32,100,100,16:32:14.8724480,169168
1,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,-22.6274,-22.6274,100,100,16:32:16.8726912,171176
4,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:32:18.8729344,173184
0,1,2,0,1,573,573,0,1,1,1,-32,-32,0,0,100,100,16:32:20.8731904,175182
3,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,-22.6274,-22.6274,100,100,16:32:22.8742656,177190
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:32:24.8736896,179198
6,1,2,0,1,573,573,0,1,1,1,0,0,32,32,100,100,16:32:26.8739328,181206
2,1,2,0,1,573,573,0,1,1,1,0,0,-32,-32,100,100,16:32:28.8741760,183203
2,1,2,0,1,573,573,0,1,1,1,0,0,-32,-32,100,100,16:32:30.8758016,185211
5,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,22.6274,22.6274,100,100,16:32:32.8773248,187219
6,1,2,0,1,573,573,0,1,1,1,0,0,32,32,100,100,16:32:34.8762752,189227
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:32:36.8751616,191224
1,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,-22.6274,-22.6274,100,100,16:32:38.8754176,193232
7,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,32,32,100,100,16:32:40.8756608,195240
4,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:32:42.8759296,197238
3,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,-22.6274,-22.6274,100,100,16:32:44.8761728,199246
0,1,2,0,1,573,573,0,1,1,1,-32,-32,0,0,100,100,16:32:46.8764160,201254
4,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,16:32:48.8780928,203262
7,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,32,32,100,100,16:32:50.8769152,205259
1,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,-22.6274,-22.6274,100,100,16:32:52.8771840,207267
3,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,-22.6274,-22.6274,100,100,16:32:54.8774016,209275
6,1,2,0,1,573,573,0,1,1,1,0,0,32,32,100,100,16:32:56.8776576,211283
2,1,2,0,1,573,573,0,1,1,1,0,0,-32,-32,100,100,16:32:58.8781696,213280
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,16:33:00.8784768,215288
5,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,22.6274,22.6274,100,100,16:33:02.8784128,217296
0,1,2,0,1,573,573,0,1,1,1,-32,-32,0,0,100,100,16:33:04.8786560,219304
2,1,2,0,1,573,573,0,1,1,1,0,0,-32,-32,100,100,16:33:06.8805248,221312
3,1,2,0,1,573,573,0,1,1,1,22.6274,22.6274,-22.6274,-22.6274,100,100,16:33:08.8791680,223310
1,1,2,0,1,573,573,0,1,1,1,-22.6274,-22.6274,-22.6274,-22.6274,100,100,16:33:10.8794112,225318
