VideoFrameCount,LEDAsync,ArduinoTime,BonsaiTime
253,62273,15538,59381583.232
254,62174,15578,59381615.1936
255,62340,15618,59381648.5504
256,62960,15659,59381695.5648
257,63676,15689,59381726.656
258,63556,15719,59381758.3232
259,62138,15769,59381790.4
260,62193,15799,59381839.3984
261,62900,15830,59381871.7184
262,64270,15860,59381903.4624
263,62910,15900,59381935.5136
264,62709,15940,59381968.1152
265,61941,15980,59382016.0512
266,105154,16010,59382047.5648
267,208567,16040,59382082.1248
268,208149,16090,59382112.2048
269,209123,16120,59382159.4752
270,209837,16150,59382191.5776
271,209591,16181,59382223.1424
272,209463,16211,59382256.2688
273,213112,16261,59382287.1168
274,230043,16301,59382336.2048
275,210635,16331,59382367.6416
276,196395,16362,59382399.4112
277,204875,16412,59382431.2576
278,208977,16442,59382479.5648
279,208685,16472,59382512.256
280,174517,16502,59382544.4224
281,63887,16532,59382575.0272
282,78352,16582,59382607.6288
283,63505,16612,59382655.5008
284,63679,16652,59382687.8208
285,63344,16683,59382720.448
286,62398,16733,59382750.8096
287,63480,16763,59382798.8608
288,75404,16793,59382830.72
289,62673,16823,59382863.36
290,63045,16854,59382895.5776
291,62990,16904,59382927.5776
292,62398,16934,59382975.2704
293,62722,16974,59383006.9376
294,63918,17004,59383039.7312
295,63745,17054,59383071.7184
296,65019,17084,59383119.5392
297,64208,17114,59383151.3344
298,62753,17144,59383184.2432
299,62785,17174,59383215.3728
300,62894,17225,59383247.8976
301,63071,17255,59383295.4496
302,63241,17295,59383327.872
303,62523,17325,59383359.7824
304,61970,17376,59383391.808
305,62959,17406,59383440.7424
306,62521,17436,59383472.4736
307,62860,17466,59383503.7184
308,62593,17496,59383539.2256
309,62073,17546,59383567.9872
310,61866,17576,59383615.8336
311,62127,17616,59383648.5888
312,62375,17646,59383680.7168
313,62681,17686,59383712.6784
314,62884,17727,59383758.4256
315,62538,17757,59383792.3584
316,62788,17787,59383823.8592
317,62695,17827,59383855.7568
318,62557,17867,59383890.7904
319,62454,17898,59383936.9344
320,62250,17928,59383967.8592
321,62809,17968,59383999.488
322,62845,18008,59384032.8832
323,62315,18048,59384079.8464
324,62313,18078,59384112.704
325,62619,18108,59384143.9104
326,62909,18158,59384176.1152
327,63262,18188,59384223.808
328,62801,18219,59384256.384
329,63052,18249,59384288.8448
330,62771,18289,59384320.0128
331,63959,18329,59384352.384
332,63095,18369,59384400.3584
333,62998,18400,59384431.8208
334,63450,18430,59384464.7296
335,62912,18480,59384495.7568
336,62955,18510,59384543.7824
337,62914,18540,59384576.4224
338,63163,18570,59384607.7696
339,62840,18610,59384640.1024
340,63317,18650,59384672.2304
341,63563,18690,59384719.5008
342,63690,18720,59384751.5648
343,62783,18751,59384783.1552
344,62001,18801,59384816.2432
345,62065,18831,59384864.2432
346,62808,18861,59384896.1792
347,63259,18891,59384928.3712
348,63555,18922,59384959.296
349,63318,18972,59384992.3072
350,63082,19002,59385039.9872
351,63297,19042,59385071.3984
352,64570,19072,59385104.2304
353,162753,19122,59385136.2176
354,208081,19152,59385184.0128
355,208605,19182,59385216.192
356,209012,19212,59385247.8464
357,209357,19243,59385279.36
358,209946,19293,59385311.9872
359,207909,19323,59385359.8336
360,208201,19363,59385391.7312
361,208069,19393,59385424.3712
362,208052,19444,59385456.8576
363,209259,19474,59385504.8064
364,208735,19504,59385537.1392
365,208341,19534,59385568.0384
366,208589,19574,59385599.808
367,121017,19614,59385633.0752
368,62543,19644,59385679.424
369,63099,19684,59385712.0128
370,63369,19714,59385743.1424
371,62566,19765,59385776.1536
372,62605,19795,59385825.0624
373,62543,19825,59385857.536
374,62069,19855,59385888.6912
375,62356,19885,59385920.0384
376,62646,19936,59385951.5008
377,62681,19966,59386000.6272
378,62700,19996,59386032.1536
379,62243,20036,59386064.0256
380,62046,20086,59386095.7056
381,62068,20116,59386144.6016
382,61910,20146,59386176.5888
383,62081,20176,59386208.2688
384,62003,20206,59386240.3968
385,62106,20256,59386272.512
386,62051,20287,59386320.768
387,62323,20317,59386352.768
388,62219,20357,59386383.744
389,62347,20407,59386417.5872
390,62305,20438,59386464.3072
391,62267,20468,59386495.6928
392,61899,20498,59386528.5888
393,61812,20528,59386560.512
394,61543,20578,59386592.4224
395,61698,20608,59386640.6912
396,61572,20638,59386672.1536
397,61646,20678,59386704.4096
398,61921,20718,59386735.68
399,61715,20758,59386783.6544
400,61396,20789,59386816.5504
401,61582,20819,59386848.384
402,61321,20849,59386879.616
403,61346,20899,59386913.8432
404,61311,20929,59386959.6544
405,61550,20960,59386992.6144
406,61525,21000,59387024.0768
407,61352,21040,59387056.1408
408,61043,21080,59387104.2048
409,67519,21110,59387136.256
410,208152,21140,59387167.808
411,208079,21190,59387202.1504
412,208627,21220,59387248.2048
413,207950,21250,59387279.6288
414,207306,21280,59387312.3328
415,207340,21321,59387344.2304
416,206981,21361,59387376.128
417,208008,21401,59387423.6928
418,207351,21431,59387456.4224
419,208647,21462,59387489.6768
420,208729,21512,59387520.1536
421,208613,21542,59387569.1136
422,208716,21572,59387600.6912
423,201031,21602,59387631.9616
424,62781,21642,59387664.192
425,62761,21682,59387696.128
426,62661,21722,59387743.5776
427,62916,21752,59387776.6016
428,62879,21782,59387809.0112
429,62633,21833,59387839.7952
430,62521,21863,59387888.6528
431,62319,21893,59387921.1648
432,63010,21923,59387953.5616
433,63046,21953,59387984.32
434,62653,22004,59388015.8336
435,62309,22034,59388064.4736
436,62317,22074,59388096.2304
437,62173,22104,59388127.7184
438,62666,22154,59388160.8448
439,63178,22184,59388208.3712
440,62574,22214,59388241.0496
441,62296,22244,59388272.6656
442,62499,22284,59388305.1904
443,62433,22325,59388337.3184
444,62940,22355,59388384.448
445,63110,22395,59388415.8464
446,63229,22425,59388449.0752
447,62801,22475,59388480.8192
448,62456,22506,59388528.64
449,62685,22536,59388560.4992
450,62910,22566,59388593.1392
451,62740,22596,59388625.2032
452,62701,22646,59388656.4864
453,62739,22676,59388705.1008
454,62677,22716,59388736.256
455,62654,22746,59388768.0512
456,62414,22796,59388800.8832
457,62715,22827,59388847.936
458,62452,22857,59388880.7296
459,62401,22887,59388912.4224
460,62675,22917,59388944.2304
461,62479,22967,59388976.1152
462,62539,22998,59389024.7424
463,62221,23028,59389056.8192
464,62511,23068,59389088.8704
465,62370,23108,59389120.4352
466,62349,23148,59389168.3968
467,62369,23178,59389200.8704
468,62382,23208,59389232.6144
469,62443,23238,59389264.6016
470,62323,23288,59389296.9856
471,62453,23318,59389344.7808
472,62498,23349,59389376.192
473,62126,23389,59389408.832
474,62466,23429,59389441.0496
475,62437,23469,59389488.128
476,62393,23499,59389521.3696
477,62382,23530,59389552.9472
478,62369,23560,59389584.832
479,62493,23610,59389618.0992
480,62577,23640,59389664.6656
481,62513,23670,59389696.7168
482,62170,23710,59389728.7168
483,62400,23750,59389760
484,62402,23790,59389808.8576
485,62314,23820,59389840.7424
486,62343,23851,59389872.2944
487,62360,23901,59389905.1776
488,62252,23931,59389952.6784
489,62180,23961,59389985.4208
490,62477,23991,59390016.256
491,62343,24032,59390049.4592
492,62113,24072,59390080.832
493,62475,24112,59390128.1408
494,62397,24142,59390161.8304
495,62459,24172,59390192.5632
496,62374,24222,59390224.5888
497,62481,24252,59390273.728
498,62551,24282,59390305.2288
499,134400,24312,59390336.6144
500,208037,24352,59390369.0368
501,208326,24393,59390401.1008
502,207990,24433,59390449.1904
503,208140,24463,59390482.1248
504,208415,24493,59390513.1008
505,208040,24544,59390545.2288
506,208273,24574,59390592.7168
507,207908,24604,59390625.1776
508,208316,24634,59390656.5632
509,207829,24664,59390688.9472
510,208214,24714,59390720.8704
511,208387,24754,59390768.0512
512,208026,24784,59390801.5872
513,149720,24814,59390832.7168
514,62479,24864,59390865.3056
515,62300,24895,59390912.2688
516,62078,24925,59390945.5488
517,62289,24955,59390978.0864
518,62257,24985,59391008.7808
519,62477,25035,59391041.024
520,62526,25066,59391088.8192
521,62581,25106,59391121.1648
522,62352,25136,59391153.5232
523,62378,25186,59391188.1472
524,62521,25216,59391232.8576
525,62382,25246,59391264.448
526,62453,25276,59391297.7024
527,62547,25306,59391329.664
528,62499,25356,59391360.7424
529,62329,25387,59391409.088
530,62232,25427,59391441.152
531,62696,25457,59391473.6
532,62498,25507,59391504.448
533,62354,25537,59391553.6256
534,62403,25568,59391586.112
535,62445,25598,59391616.4608
536,62450,25628,59391649.472
537,62356,25678,59391680.8448
538,62620,25708,59391728.2816
539,62130,25738,59391760.5248
540,62608,25778,59391793.5232
541,62331,25828,59391824.512
542,62251,25858,59391873.0496
543,62558,25888,59391905.3312
544,62524,25919,59391936.7424
545,62390,25949,59391969.7024
546,62251,25999,59392001.3952
547,62354,26029,59392048.5248
548,62309,26070,59392081.1648
549,62323,26100,59392114.2656
550,62475,26140,59392144.6656
551,62491,26180,59392193.3824
552,62366,26210,59392225.4208
553,62354,26240,59392257.984
554,62364,26270,59392289.6896
555,62520,26320,59392322.0608
556,62391,26350,59392369.2416
557,62523,26390,59392401.2672
558,62503,26421,59392433.3056
559,62617,26461,59392464.9728
560,62301,26501,59392512.8832
561,62386,26531,59392546.9184
562,62297,26561,59392577.0112
563,62409,26592,59392609.2544
564,62329,26642,59392641.1776
565,169993,26672,59392689.2032
566,207964,26702,59392722.2272
567,208697,26732,59392752.3456
568,208072,26782,59392783.7952
569,208294,26822,59392832.9856
570,208118,26852,59392865.1008
571,208062,26882,59392895.9104
572,207934,26933,59392928.6272
573,208007,26963,59392977.1392
574,208389,26993,59393009.2544
575,207921,27023,59393040.9344
576,207983,27063,59393072.9088
577,208089,27104,59393106.1248
578,207830,27144,59393153.2928
579,110755,27174,59393185.7792
580,62451,27204,59393216.7936
581,62414,27254,59393249.8048
582,62370,27284,59393297.3184
583,62127,27314,59393330.6496
584,62373,27344,59393361.1904
585,62388,27384,59393393.4464
586,62170,27424,59393425.2416
587,62454,27455,59393473.152
588,62342,27495,59393505.5744
589,62487,27525,59393538.4832
590,62420,27575,59393572.5568
591,62298,27606,59393617.7664
592,62470,27636,59393650.176
593,62580,27666,59393681.9328
594,62274,27696,59393713.2288
