Wheel,LastSyncPulseTime,ArduinoTime,BonsaiTime,RenderFrameCount
5718,14448,15558,59381626.112,931
5723,14448,15568,59381636.3648,931
5726,14448,15578,59381645.6832,932
5731,14448,15588,59381655.9104,932
5735,14448,15598,59381665.9968,933
5740,14448,15608,59381676.3136,934
5744,14448,15618,59381685.4912,934
5748,14448,15628,59381695.7184,935
5753,14448,15638,59381705.9456,935
5758,14448,15648,59381716.1344,936
5762,14448,15659,59381726.336,937
5767,14448,15669,59381736.5632,937
5772,14448,15679,59381746.8416,938
5776,14448,15689,59381756.9152,939
5780,14448,15699,59381767.1936,939
5784,14448,15709,59381776.3328,940
5788,14448,15719,59381786.688,940
5792,14448,15729,59381796.7744,941
5796,14448,15739,59381807.0144,942
5800,14448,15749,59381816.3456,942
5803,14448,15759,59381826.4064,943
5807,14448,15769,59381836.6464,943
5810,14448,15779,59381846.912,944
5813,14448,15789,59381856.128,944
5816,14448,15799,59381866.7392,945
5819,14448,15809,59381876.48,946
5822,14448,15819,59381886.7584,946
5825,14448,15830,59381896.9728,947
5828,14448,15840,59381907.1488,948
5831,14448,15850,59381917.504,948
5834,14448,15860,59381927.6672,949
5837,14448,15870,59381937.8176,949
5840,14448,15880,59381946.9824,950
5844,14448,15890,59381957.312,951
5847,14448,15900,59381967.3856,951
5850,14448,15910,59381977.6384,952
5853,14448,15920,59381986.9184,952
5856,14448,15930,59381997.1456,953
5859,14448,15940,59382007.2448,954
5863,14448,15950,59382017.6,954
5866,14448,15960,59382026.752,955
5869,15967,15970,59382036.9024,955
5872,15967,15980,59382047.1168,956
5875,15967,15990,59382057.3568,957
5877,15967,16000,59382066.6752,957
5880,15967,16010,59382077.0432,958
5883,15967,16020,59382087.04,958
5886,15967,16030,59382097.1904,959
5889,15967,16040,59382107.52,960
5892,15967,16050,59382116.6336,960
5895,15967,16060,59382126.8864,961
5898,15967,16070,59382137.0752,961
5902,15967,16080,59382147.3664,962
5904,15967,16090,59382156.6208,963
5908,15967,16100,59382166.6816,963
5911,15967,16110,59382176.896,964
5914,15967,16120,59382187.1872,964
5917,15967,16130,59382196.3648,965
5921,15967,16140,59382206.528,965
5924,15967,16150,59382216.7808,966
5928,15967,16160,59382227.0208,967
5931,15967,16171,59382237.2352,967
5935,15967,16181,59382247.3728,968
5938,15967,16191,59382257.6512,968
5942,15967,16201,59382267.9296,969
5945,15967,16211,59382278.0928,970
5949,15967,16221,59382287.36,970
5952,15967,16231,59382297.408,971
5956,15967,16241,59382307.6224,972
5960,15967,16251,59382317.952,972
5964,15967,16261,59382327.0912,973
5968,15967,16271,59382337.344,973
5972,15967,16281,59382347.5968,974
5976,15967,16291,59382357.9392,975
5980,15967,16301,59382367.0144,975
5984,15967,16311,59382377.1136,976
5989,15967,16321,59382387.4176,976
5993,15967,16331,59382397.6448,977
5997,15967,16342,59382407.808,978
6002,15967,16352,59382417.9968,978
6006,15967,16362,59382428.288,979
