Photodiode,AsyncPulse,BonsaiTime,ArduinoTime
11,0,60197973.4912,4324
14,0,60197974.5664,4324
12,0,60197975.6288,4324
14,0,60197976.6912,4324
7,0,60197977.6768,4324
11,0,60197978.7776,4324
12,0,60197979.8528,4324
12,0,60197980.9152,4324
14,0,60197981.9904,4324
12,0,60197983.0528,4334
9,0,60197984.0512,4334
6,0,60197985.216,4334
12,0,60197986.2016,4334
6,0,60197987.2,4334
8,0,60197988.2112,4334
12,0,60197989.2992,4334
10,0,60197990.336,4334
9,0,60197991.3088,4334
10,0,60197992.4352,4334
9,0,60197993.408,4344
13,0,60197994.5088,4344
13,0,60197995.584,4344
12,0,60197996.6464,4344
6,0,60197997.6192,4344
7,0,60197998.6432,4344
11,0,60197999.7568,4344
11,0,60198000.832,4344
11,0,60198001.92,4344
10,0,60198002.9568,4354
11,0,60198004.0576,4354
13,0,60198005.1072,4354
6,0,60198006.1056,4354
8,0,60198007.104,4354
11,0,60198008.2048,4354
11,0,60198009.3056,4354
12,0,60198010.3296,4354
10,0,60198011.3792,4354
7,0,60198012.3904,4364
12,0,60198013.4656,4364
10,0,60198014.528,4364
12,0,60198015.5904,4364
12,0,60198016.6784,4364
13,0,60198017.728,4364
12,0,60198018.8032,4364
5,0,60198019.7888,4364
12,0,60198020.8768,4364
11,0,60198022.0672,4364
13,0,60198023.0912,4374
9,0,60198024,4374
5,0,60198025.0624,4374
10,0,60198026.1632,4374
7,0,60198027.1616,4374
13,0,60198028.2624,4374
11,0,60198029.312,4374
14,0,60198030.336,4374
12,0,60198031.4112,4374
12,0,60198032.4992,4374
13,0,60198033.536,4384
12,0,60198034.5984,4384
6,0,60198035.5968,4384
10,0,60198036.6976,4384
8,0,60198037.6704,4384
14,0,60198038.784,4384
11,0,60198039.8336,4384
12,0,60198040.9088,4384
12,0,60198041.9712,4384
14,0,60198043.0592,4395
6,0,60198044.0704,4395
8,0,60198045.056,4395
9,0,60198046.1056,4395
10,0,60198047.2064,4395
11,0,60198048.256,4395
12,0,60198049.3056,4395
10,0,60198050.368,4395
8,0,60198051.3408,4395
11,0,60198052.4288,4395
12,0,60198053.5168,4405
7,0,60198054.5024,4405
10,0,60198055.6032,4405
12,0,60198056.6528,4405
12,0,60198057.728,4405
12,0,60198058.8032,4405
11,0,60198059.8656,4405
12,0,60198060.9152,4405
9,0,60198061.9136,4405
6,0,60198062.9248,4405
7,0,60198063.9488,4415
11,0,60198065.1136,4415
11,0,60198066.1632,4415
13,0,60198067.2128,4415
7,0,60198068.2112,4415
12,0,60198069.312,4415
12,0,60198070.3616,4415
12,0,60198071.4368,4415
7,0,60198072.3968,4415
11,0,60198073.5616,4415
10,0,60198074.5728,4425
12,0,60198075.6224,4425
9,0,60198076.608,4425
6,0,60198077.632,4425
7,0,60198078.656,4425
7,0,60198079.68,4425
8,0,60198080.704,4425
12,0,60198081.8176,4425
12,0,60198082.8672,4425
12,0,60198083.9424,4435
8,0,60198084.9152,4435
12,0,60198086.08,4435
13,0,60198087.1296,4435
12,0,60198088.384,4435
5,0,60198089.1648,4435
8,0,60198090.2656,4435
12,0,60198091.3152,4435
12,0,60198092.3264,4435
12,0,60198093.4016,4445
12,0,60198094.464,4445
12,0,60198095.5264,4445
9,0,60198096.5248,4445
8,0,60198097.5488,4445
11,0,60198098.6496,4445
13,0,60198099.7376,4445
11,0,60198100.7872,4445
14,0,60198101.8368,4445
6,0,60198102.9376,4445
8,0,60198103.8464,4455
6,0,60198104.8704,4455
5,0,60198105.9072,4455
7,0,60198106.9184,4455
8,0,60198107.9424,4455
10,0,60198109.0688,4455
12,0,60198110.1952,4455
12,0,60198111.168,4455
9,0,60198112.1664,4455
7,0,60198113.2288,4455
7,0,60198114.2144,4465
8,0,60198115.264,4465
11,0,60198116.3136,4465
11,0,60198117.376,4465
11,0,60198118.4512,4465
13,0,60198119.5008,4465
13,0,60198120.6144,4465
14,0,60198121.6384,4465
8,0,60198122.6368,4465
8,0,60198123.7504,4465
10,0,60198124.7488,4475
11,0,60198125.824,4475
13,0,60198126.8992,4475
6,0,60198127.872,4475
9,0,60198128.896,4475
11,0,60198129.9968,4475
11,0,60198131.072,4475
12,0,60198132.1728,4475
9,0,60198133.1712,4485
5,0,60198134.1696,4485
8,0,60198135.168,4485
7,0,60198136.2944,4485
6,0,60198137.2288,4485
11,0,60198138.3296,4485
10,0,60198139.3792,4485
11,0,60198140.4288,4485
10,0,60198141.504,4485
8,0,60198142.4768,4485
7,0,60198143.488,4495
14,0,60198144.5888,4495
13,0,60198145.664,4495
12,0,60198146.7392,4495
8,0,60198147.712,4495
6,0,60198148.736,4495
9,0,60198149.7472,4495
13,0,60198150.848,4495
12,0,60198151.9232,4495
10,0,60198153.0752,4495
13,0,60198154.0736,4505
11,0,60198155.1232,4505
13,0,60198156.1856,4505
12,0,60198157.2736,4505
13,0,60198158.3232,4505
11,0,60198159.3728,4505
8,0,60198160.3456,4505
11,0,60198161.4592,4505
10,0,60198162.5088,4505
11,0,60198163.584,4515
8,0,60198164.5568,4515
6,0,60198165.5808,4515
6,0,60198166.592,4515
7,0,60198167.616,4515
11,0,60198168.7168,4515
7,0,60198169.7152,4515
10,0,60198170.8288,4515
6,0,60198171.8016,4515
12,0,60198172.9024,4525
12,0,60198173.952,4525
11,0,60198175.0784,4525
11,0,60198176.128,4525
12,0,60198177.1776,4525
13,0,60198178.2784,4525
10,0,60198179.328,4525
11,0,60198180.352,4525
14,0,60198181.4272,4525
13,0,60198182.5792,4525
13,0,60198183.5648,4535
13,0,60198184.64,4535
10,0,60198185.6896,4535
10,0,60198186.7648,4535
6,0,60198187.8272,4535
12,0,60198188.9408,4535
9,0,60198189.8624,4535
11,0,60198190.9248,4535
14,0,60198192.0128,4535
12,0,60198193.3184,4545
10,0,60198194.176,4545
11,0,60198195.2256,4545
12,0,60198196.3264,4545
14,0,60198197.3248,4545
6,0,60198198.3104,4545
7,0,60198199.3344,4545
10,0,60198200.4352,4545
10,0,60198201.5104,4545
6,0,60198202.5216,4545
9,0,60198203.584,4555
11,0,60198204.5952,4555
13,0,60198205.6704,4555
12,0,60198206.7456,4555
12,0,60198207.7952,4555
9,0,60198208.7808,4555
12,0,60198210.0096,4555
14,0,60198210.9568,4555
14,0,60198212.0192,4555
12,0,60198213.12,4555
12,0,60198214.1824,4566
9,0,60198215.1808,4566
7,0,60198216.2304,4566
12,0,60198217.3184,4566
14,0,60198218.3552,4566
6,0,60198219.328,4566
6,0,60198220.4032,4566
10,0,60198222.1568,4566
8,0,60198222.4512,4566
10,0,60198223.6032,4566
12,0,60198224.6016,4576
11,0,60198225.6768,4576
12,0,60198226.7264,4576
7,0,60198227.6992,4576
6,0,60198228.7232,4576
10,0,60198229.8624,4576
10,0,60198230.912,4576
12,0,60198231.9744,4576
6,0,60198232.96,4576
6,0,60198234.0736,4586
9,0,60198234.9952,4586
6,0,60198236.0064,4586
9,0,60198237.1712,4586
12,0,60198238.1824,4586
13,0,60198239.232,4586
13,0,60198240.2944,4586
6,0,60198241.28,4586
7,0,60198242.2784,4586
12,0,60198243.392,4586
12,0,60198244.4544,4596
12,0,60198245.5296,4596
5,0,60198246.5024,4596
6,0,60198247.5264,4596
7,0,60198248.5504,4596
10,0,60198249.6512,4596
13,0,60198250.7264,4596
6,0,60198251.712,4596
7,0,60198252.7104,4596
10,0,60198253.8496,4596
13,0,60198254.8992,4606
13,0,60198256,4606
9,0,60198256.9728,4606
14,0,60198258.0352,4606
12,0,60198259.1872,4606
13,0,60198260.1856,4606
13,0,60198261.2992,4606
9,0,60198262.3104,4606
13,0,60198263.4496,4606
7,0,60198264.3072,4616
7,0,60198265.3312,4616
12,0,60198266.4832,4616
12,0,60198267.5328,4616
8,0,60198268.5056,4616
12,0,60198269.696,4616
14,0,60198270.6816,4616
11,0,60198271.744,4616
7,0,60198272.704,4616
10,0,60198273.8176,4616
12,0,60198274.8928,4626
12,0,60198275.9424,4626
9,0,60198276.9152,4626
6,0,60198277.952,4626
8,0,60198278.976,4626
10,0,60198280.0896,4626
12,0,60198281.1904,4626
14,0,60198282.24,4626
6,0,60198283.2384,4626
9,0,60198284.2496,4636
8,0,60198285.2864,4636
6,0,60198286.2976,4636
10,0,60198287.3728,4636
9,0,60198288.3584,4636
6,0,60198289.3696,4636
6,0,60198290.4064,4636
10,0,60198291.4944,4636
10,0,60198292.5568,4636
12,0,60198293.6448,4636
12,0,60198294.6816,4646
9,0,60198295.6544,4646
12,0,60198296.7808,4646
14,0,60198297.8432,4646
11,0,60198298.9184,4646
11,0,60198299.968,4646
12,0,60198301.0944,4646
7,0,60198302.0288,4646
9,0,60198303.0272,4646
12,0,60198304.1408,4656
14,0,60198305.2416,4656
9,0,60198306.24,4656
6,0,60198307.2896,4656
14,0,60198308.3392,4656
14,0,60198309.4016,4656
11,0,60198310.4768,4656
14,0,60198311.552,4656
12,0,60198312.6016,4656
13,0,60198313.6768,4656
10,0,60198314.88,4666
11,0,60198315.7888,4666
12,0,60198316.9792,4666
10,0,60198317.9264,4666
12,0,60198319.0016,4666
13,0,60198320.1024,4666
7,0,60198321.024,4666
8,0,60198322.0992,4666
11,0,60198323.2,4666
10,0,60198324.2496,4676
11,0,60198325.3504,4676
9,0,60198326.2976,4676
5,0,60198327.296,4676
8,0,60198328.32,4676
10,0,60198329.4336,4676
12,0,60198330.5088,4676
11,0,60198331.5584,4676
9,0,60198332.5312,4676
7,0,60198333.6832,4676
12,0,60198334.6688,4686
10,0,60198335.808,4686
5,0,60198336.7168,4686
12,0,60198337.8176,4686
12,0,60198338.8928,4686
15,0,60198339.9552,4686
12,0,60198341.0304,4686
8,0,60198342.1184,4686
14,0,60198343.2064,4686
7,0,60198344.1664,4696
12,0,60198345.2544,4696
10,0,60198346.304,4696
12,0,60198347.3536,4696
11,0,60198348.4032,4696
12,0,60198349.4528,4696
8,0,60198350.4512,4696
10,0,60198351.552,4696
8,0,60198352.5248,4696
12,0,60198353.6512,4696
12,0,60198354.7008,4706
11,0,60198355.776,4706
