Item1.Item1.Id,Item1.Item1.Duration,Item1.Item1.Size,Item1.Item1.Colour1,Item1.Item1.Colour2,Item1.Item1.numDots1,Item1.Item1.numDots2,Item1.Item1.dotLifeBool,Item1.Item1.dotLifetime,Item1.Item1.Contrast1,Item1.Item1.Contrast2,Item1.Item1.VelX1,Item1.Item1.VelX2,Item1.Item1.VelY1,Item1.Item1.VelY2,Item1.Item1.Coherence1,Item1.Item1.Coherence2,Item1.Item2,Item2
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,17:26:42.1723648,45937
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,17:26:44.1715328,47935
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,17:26:46.1717632,49942
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,17:26:48.1720064,51950
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,17:26:50.1722624,53948
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,17:26:52.1725056,55956
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,17:26:54.1727744,57964
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,17:26:56.1744000,59972
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,17:26:58.1732608,61970
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,17:27:00.1735168,63978
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,17:27:02.1737600,65985
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,17:27:04.1740160,67993
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,17:27:06.1742592,69991
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,17:27:08.1745152,71999
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,17:27:10.1760640,74006
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,17:27:12.1750912,76014
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,17:27:14.1752832,78022
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,17:27:16.1755008,80020
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,17:27:18.1757440,82028
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,17:27:20.1760000,84036
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,17:27:22.1762688,86034
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,17:27:24.1777408,88042
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,17:27:26.1767424,90049
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,17:27:28.1769984,92057
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,17:27:30.1772672,94065
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,17:27:32.1779968,96063
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,17:27:34.1777408,98070
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,17:27:36.1779968,100078
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,17:27:38.1795712,102086
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,17:27:40.1784960,104094
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,17:27:42.1787392,106092
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,17:27:44.1789824,108100
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,17:27:46.1792256,110108
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,17:27:48.1794816,112116
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,17:27:50.1797504,114113
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,17:27:52.1812864,116121
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,17:27:54.1802240,118129
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,17:27:56.1804800,120137
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,17:27:58.1807360,122144
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,17:28:00.1810944,124152
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,17:28:02.1812224,126150
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,17:28:04.1815552,128158
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,17:28:06.1830016,130166
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,17:28:08.1820288,132164
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,17:28:10.1824000,134172
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,17:28:12.1824768,136180
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,17:28:14.1827200,138187
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,17:28:16.1829760,140195
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,17:28:18.1832320,142193
2,1,2,0,1,573,573,0,1,1,1,32,32,0,0,100,100,17:28:20.1848832,144201
4,1,2,0,1,573,573,0,1,1,1,128,128,0,0,100,100,17:28:22.1837184,146208
0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,17:28:24.1840000,148216
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,17:28:26.1842304,150214
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,17:28:28.1844864,152222
0,1,2,0,1,573,573,0,1,1,1,0,0,0,0,100,100,17:28:30.1847168,154230
1,1,2,0,1,573,573,0,1,1,1,16,16,0,0,100,100,17:28:32.1849856,156238
5,1,2,0,1,573,573,0,1,1,1,256,256,0,0,100,100,17:28:34.1864832,158246
3,1,2,0,1,573,573,0,1,1,1,64,64,0,0,100,100,17:28:36.1859968,160244
