VideoFrameCount,LEDAsync,ArduinoTime,BonsaiTime
0,264339,7497,60193607.2448
0,218030,7537,60201141.0048
1,76722,7567,60201182.528
2,73333,7607,60201215.8592
3,72127,7627,60201251.072
4,72814,7678,60201278.9504
5,73954,7708,60201326.5152
6,76186,7748,60201359.0912
7,78487,7778,60201390.1056
8,81740,7808,60201422.6304
9,83676,7858,60201454.784
10,83588,7888,60201503.1424
11,82878,7918,60201534.8864
12,83195,7958,60201566.5408
13,83423,7999,60201600.3584
14,83577,8029,60201648.1664
15,84442,8069,60201678.976
16,84149,8099,60201718.1312
17,83465,8129,60201744.2048
18,83466,8180,60201775.2064
19,83199,8210,60201822.464
20,83614,8240,60201855.0784
21,84241,8270,60201887.5776
22,84140,8320,60201918.9248
23,83685,8350,60201966.9504
24,83845,8390,60201999.3984
25,84148,8420,60202031.5904
26,83364,8450,60202063.3984
27,83974,8501,60202095.424
28,84341,8531,60202143.0528
29,84073,8561,60202175.9232
30,84124,8591,60202207.9616
31,83652,8641,60202239.5776
32,83340,8672,60202287.4496
33,83966,8712,60202320.768
34,84367,8742,60202351.5392
35,83947,8772,60202383.5776
36,83407,8822,60202416.0128
37,83257,8852,60202463.7824
38,83750,8882,60202496.4608
39,83498,8912,60202528.6016
40,83057,8962,60202559.5008
41,83459,8992,60202608.384
42,83733,9023,60202640.3456
43,83619,9063,60202671.744
44,83784,9093,60202704.448
45,83490,9143,60202735.6928
46,83323,9174,60202783.3728
47,83497,9204,60202816.3072
48,83562,9234,60202847.7696
49,83320,9284,60202879.9232
50,83517,9314,60202928.0512
51,83463,9354,60202960.4608
52,83079,9384,60202992.4864
53,83693,9414,60203023.8592
54,83473,9464,60203056.3072
55,83464,9494,60203103.5648
56,83613,9525,60203136.2816
57,83877,9555,60203167.5136
58,83133,9605,60203199.6672
59,83248,9635,60203247.424
60,95898,9665,60203279.5904
61,92676,9706,60203311.3728
62,83738,9736,60203344.0512
63,83978,9786,60203376.2944
64,83654,9816,60203423.5904
65,83565,9846,60203455.6928
66,84414,9876,60203487.7312
67,84576,9926,60203519.7696
68,84777,9956,60203567.7696
69,83958,9986,60203599.4368
70,83098,10027,60203631.9232
71,83396,10057,60203663.6416
72,83830,10097,60203695.7312
73,84401,10137,60203743.68
74,83722,10167,60203777.0112
75,83949,10198,60203808.2688
76,85651,10248,60203840.2816
77,127351,10278,60203887.6672
78,83608,10308,60203919.8848
79,83609,10338,60203951.9616
80,82928,10378,60203983.5392
81,96040,10428,60204016.1152
82,111410,10458,60204064.0256
83,83756,10488,60204096.5376
84,82996,10518,60204128.768
85,83161,10569,60204159.68
86,86019,10599,60204208.0896
87,138296,10629,60204240.3968
88,93442,10669,60204272.0128
89,269634,10710,60204303.68
90,271072,10740,60204352.0896
91,271143,10780,60204383.5392
92,155986,10810,60204416.0128
93,247434,10840,60204447.616
94,271631,10890,60204480.1792
95,270792,10920,60204528.3584
96,270382,10950,60204559.9104
97,270943,10980,60204592.2816
98,271935,11030,60204623.7568
99,271950,11061,60204671.7696
100,272188,11101,60204704.3584
101,271667,11131,60204736.6144
102,271729,11161,60204768.6272
103,84751,11211,60204799.168
104,84147,11242,60204848.192
105,84936,11272,60204879.7568
106,85072,11302,60204911.9616
107,84805,11352,60204944.576
108,84829,11382,60204992.5248
109,85122,11422,60205024.8064
110,84940,11452,60205056.7552
111,84479,11482,60205088.5376
112,84866,11532,60205120.1536
113,84960,11563,60205168.2432
114,84962,11593,60205203.0208
115,85284,11623,60205231.8464
116,84975,11673,60205264.0896
117,84662,11703,60205311.9616
118,84508,11734,60205344.9344
119,84764,11774,60205376.3328
120,84613,11804,60205408.2176
121,84665,11854,60205440.2944
122,85046,11884,60205488.0896
123,84649,11914,60205520.2048
124,84111,11944,60205551.872
125,84500,11994,60205584.5504
126,84576,12024,60205632.5632
127,84447,12064,60205664.2176
128,84396,12095,60205696.4992
129,84427,12125,60205728.6016
130,84517,12175,60205760.3584
131,84607,12205,60205807.7696
132,84388,12235,60205840.0256
133,84250,12266,60205872.832
134,84495,12316,60205904.96
135,84455,12346,60205952.0384
136,84528,12376,60205985.1648
137,84566,12416,60206016.7936
138,84350,12446,60206048.0768
139,84490,12496,60206080.6016
140,84340,12526,60206129.3312
141,84566,12556,60206160.3072
142,84501,12587,60206192.8832
143,84632,12637,60206224.8192
144,84543,12667,60206272.4224
145,84371,12697,60206304.1792
146,84546,12737,60206336.192
147,84305,12768,60206368.1152
148,84418,12808,60206400.9216
149,84467,12848,60206448.0128
150,84350,12878,60206480.3072
151,84219,12908,60206512.1792
152,84623,12958,60206544.5248
153,84362,12988,60206592.6784
154,84258,13028,60206624.2944
155,83986,13058,60206659.2512
156,83508,13088,60206688.6144
157,83455,13129,60206720.3712
158,83170,13169,60206768.0384
159,83149,13199,60206799.7056
160,83174,13229,60206831.8976
161,83466,13280,60206864.0128
162,83207,13310,60206912.8448
163,83787,13340,60206945.0496
164,83723,13380,60206977.2544
165,83091,13410,60207009.7664
166,83494,13450,60207040.064
167,83766,13490,60207088.832
168,84011,13520,60207120.192
169,84533,13550,60207152.064
