Wheel,LastSyncPulseTime,ArduinoTime,BonsaiTime,RenderFrameCount
882,338,2166,62657590.8096,129
889,338,2176,62657599.9232,130
897,338,2186,62657610.3424,130
905,338,2196,62657620.3904,131
913,338,2206,62657630.6176,132
921,338,2216,62657640.8192,132
928,338,2226,62657649.9328,133
936,338,2236,62657660.3264,133
943,338,2246,62657670.3872,134
951,338,2256,62657680.704,135
958,338,2266,62657689.8688,135
966,338,2276,62657700.1088,136
974,338,2286,62657710.2976,136
982,338,2296,62657720.4608,137
989,338,2306,62657729.7408,138
997,338,2316,62657739.904,138
1005,338,2326,62657750.2336,139
1012,338,2336,62657760.3712,139
1020,338,2347,62657770.5728,140
1029,338,2357,62657780.864,141
1036,338,2367,62657791.0144,141
1044,338,2377,62657801.3568,142
1052,338,2387,62657811.4944,142
1059,338,2397,62657820.6848,143
1067,338,2407,62657830.7712,144
1075,338,2417,62657841.152,144
1083,338,2427,62657851.2512,145
1090,338,2437,62657860.4544,145
1098,338,2447,62657870.656,146
1105,338,2457,62657880.8832,147
1113,338,2467,62657891.136,147
1120,338,2477,62657900.1856,148
1128,338,2487,62657910.5536,148
1135,338,2497,62657920.6912,149
1143,338,2507,62657931.9936,150
1150,338,2518,62657941.0688,150
1158,338,2528,62657951.3216,151
1165,338,2538,62657961.5488,151
1172,2546,2548,62657971.8656,152
1180,2546,2558,62657982.1568,153
1186,2546,2568,62657991.2192,153
1193,2546,2578,62658001.5104,154
1200,2546,2588,62658011.6736,154
1208,2546,2598,62658021.824,155
1214,2546,2608,62658031.0144,156
1221,2546,2618,62658041.2672,156
1228,2546,2628,62658051.5328,157
1235,2546,2638,62658061.7088,157
1241,2546,2648,62658070.848,158
1248,2546,2658,62658081.1648,159
1254,2546,2668,62658091.3408,159
1261,2546,2678,62658101.5168,160
1267,2546,2688,62658110.72,160
1274,2546,2698,62658120.9344,161
1281,2546,2708,62658131.1488,162
1288,2546,2718,62658141.3888,162
1294,2546,2728,62658151.6416,163
1301,2546,2738,62658160.8064,163
1307,2546,2748,62658170.9568,164
1314,2546,2758,62658181.2096,165
1321,2546,2768,62658191.4496,165
1327,2546,2778,62658200.5504,166
1334,2546,2788,62658210.8288,166
1340,2546,2798,62658221.0048,167
1347,2546,2808,62658231.3088,168
1353,2546,2818,62658240.3968,168
