VideoFrameCount,LEDAsync,ArduinoTime,BonsaiTime
97,297678,9826,58508510.5536
98,298620,9856,58508542.6432
99,297824,9896,58508574.7456
100,297591,9936,58508607.1424
101,298533,9976,58508654.4128
102,297038,10006,58508687.2448
103,296492,10037,58508718.7968
104,296946,10087,58508750.8352
105,296618,10117,58508798.9376
106,295637,10147,58508830.6304
107,295257,10177,58508862.144
108,295175,10228,58508894.7712
109,253118,10258,58508942.8736
110,103303,10288,58508974.6432
111,103807,10328,58509006.7072
112,103856,10358,58509039.1552
113,105004,10408,58509069.9776
114,102838,10438,58509118.656
115,102324,10468,58509150.208
116,101895,10498,58509182.8992
117,102467,10549,58509216.0128
118,102606,10579,58509262.9504
119,101759,10609,58509294.6816
120,100906,10649,58509326.784
121,101566,10679,58509358.8992
122,101420,10730,58509390.3872
123,100969,10760,58509438.7968
124,101393,10790,58509471.2704
125,102124,10820,58509502.6816
126,102581,10870,58509535.1168
127,102569,10900,58509582.9888
128,102154,10930,58509614.2592
129,101674,10970,58509647.168
130,101690,11000,58509678.3616
131,101388,11051,58509712.0256
132,101146,11081,58509759.168
133,101639,11111,58509791.04
134,100966,11141,58509823.1808
135,101135,11191,58509855.0784
136,101015,11222,58509903.3344
137,101043,11252,58509935.0144
138,101789,11292,58509967.68
139,102032,11322,58509999.3984
140,101369,11362,58510031.0656
141,101467,11402,58510078.1824
142,101133,11432,58510110.7456
143,101274,11462,58510142.3104
144,100929,11512,58510175.0528
145,100761,11542,58510222.5792
146,100458,11573,58510255.9744
147,100756,11613,58510287.7312
148,100624,11643,58510319.6416
149,100497,11693,58510351.5648
150,100420,11723,58510400.1664
151,100686,11754,58510430.7328
152,100798,11784,58510463.9872
153,100348,11834,58510495.552
154,100514,11864,58510543.0144
155,100986,11894,58510578.0608
156,100654,11924,58510607.1168
157,100151,11964,58510639.4112
158,100324,12004,58510670.8608
159,100648,12044,58510719.3216
160,100520,12075,58510751.2064
161,100708,12105,58510783.3984
162,100548,12155,58510815.424
163,100398,12185,58510863.3344
