Wheel,LastSyncPulseTime,ArduinoTime,BonsaiTime,RenderFrameCount
598,516,4294,60441270.8608,254
598,516,4304,60441280.9856,255
598,516,4314,60441290.2528,255
598,516,4324,60441300.4032,256
598,516,4334,60441310.5408,257
598,516,4344,60441320.8192,257
598,516,4354,60441329.984,258
598,516,4364,60441340.3008,258
598,516,4374,60441350.4512,259
598,516,4384,60441360.6528,260
598,516,4395,60441370.816,260
598,516,4405,60441381.1072,261
598,516,4415,60441391.3472,262
598,516,4425,60441401.4592,262
598,516,4435,60441411.8144,263
598,516,4445,60441420.864,263
598,516,4455,60441431.168,264
598,516,4465,60441441.3696,265
598,516,4475,60441451.52,265
598,4483,4485,60441460.8512,266
598,4483,4495,60441471.0144,266
598,4483,4505,60441481.28,267
598,4483,4515,60441491.4304,268
598,4483,4525,60441500.5824,268
598,4483,4535,60441510.7968,269
598,4483,4545,60441521.024,269
598,4483,4555,60441531.3152,270
598,4483,4566,60441541.4656,271
598,4483,4576,60441551.6288,271
598,4483,4586,60441561.9456,272
598,4483,4596,60441572.0832,272
598,4483,4606,60441582.3232,273
598,4483,4616,60441591.552,274
598,4483,4626,60441601.856,274
598,4483,4636,60441612.0192,275
598,4483,4646,60441622.2976,275
598,4483,4656,60441631.3728,276
598,4483,4666,60441641.6128,277
598,4483,4676,60441651.84,277
598,4483,4686,60441662.0544,278
598,4483,4696,60441671.1808,278
598,4483,4706,60441681.4208,279
598,4483,4716,60441691.648,280
598,4483,4726,60441701.8368,280
598,4483,4736,60441711.1168,281
598,4483,4746,60441721.3312,281
598,4483,4756,60441731.5584,282
598,4483,4766,60441741.7856,283
598,4483,4776,60441751.8848,283
598,4483,4786,60441761.152,284
598,4483,4796,60441771.392,284
598,4483,4806,60441781.6064,285
598,4483,4816,60441791.872,286
598,4483,4826,60441800.9856,286
598,4483,4836,60441811.1872,287
598,4483,4846,60441821.3632,287
598,4483,4856,60441831.5648,288
598,4483,4866,60441840.8448,289
598,4483,4876,60441851.0592,289
598,4483,4886,60441861.3248,290
598,4483,4896,60441871.5136,290
598,4483,4907,60441881.7152,291
598,4483,4917,60441891.9552,292
598,4483,4927,60441902.1952,292
598,4483,4937,60441912.3328,293
598,4483,4947,60441922.496,294
598,4483,4957,60441931.7504,294
598,4483,4967,60441942.0672,295
598,4483,4977,60441952.192,295
598,4483,4987,60441962.3808,296
598,4483,4997,60441971.7504,297
598,4483,5007,60441981.7856,297
598,4483,5017,60441992.0128,298
598,4483,5027,60442002.2272,298
598,4483,5037,60442011.3664,299
598,4483,5047,60442021.6192,300
598,4483,5057,60442031.8464,300
598,4483,5067,60442042.0352,301
598,4483,5078,60442052.2496,301
598,4483,5088,60442062.4512,302
598,4483,5098,60442072.7424,303
598,4483,5108,60442082.8928,303
598,4483,5118,60442093.12,304
598,4483,5128,60442102.3488,304
598,4483,5138,60442112.6016,305
598,4483,5148,60442122.816,306
598,4483,5158,60442133.056,306
598,4483,5168,60442142.1568,307
598,4483,5178,60442152.3968,307
598,4483,5188,60442162.6496,308
598,4483,5198,60442172.864,309
598,4483,5208,60442182.0928,309
598,4483,5218,60442192.2048,310
598,4483,5228,60442202.432,310
598,4483,5238,60442212.6464,311
598,4483,5248,60442221.9392,312
598,4483,5258,60442232.1792,312
598,4483,5268,60442242.3808,313
598,4483,5278,60442252.5824,313
598,4483,5288,60442262.8864,314
598,4483,5298,60442271.9488,315
598,4483,5308,60442282.176,315
598,4483,5318,60442292.3648,316
598,4483,5328,60442302.5536,316
598,4483,5338,60442311.9104,317
598,4483,5348,60442322.0864,318
