Photodiode,AsyncPulse,BonsaiTime,ArduinoTime
13,0,61118602.7264,8180
11,0,61118603.7632,8180
9,0,61118604.7616,8180
14,0,61118605.8752,8180
13,0,61118606.9504,8180
9,0,61118607.936,8180
6,0,61118608.9216,8190
5,0,61118609.9584,8190
8,0,61118610.9824,8190
12,0,61118612.1216,8190
10,0,61118613.1712,8190
10,0,61118614.2336,8190
8,0,61118615.2192,8190
11,0,61118616.32,8190
9,0,61118617.3312,8200
13,0,61118618.368,8200
12,0,61118619.4432,8200
9,0,61118620.4288,8200
13,0,61118621.5552,8200
11,0,61118622.7328,8200
11,0,61118623.6928,8200
15,0,61118624.9344,8200
14,0,61118625.792,8200
12,0,61118626.9056,8200
12,0,61118627.9296,8210
12,0,61118629.0048,8210
11,0,61118630.0672,8210
9,0,61118631.0656,8210
6,0,61118632.128,8210
7,0,61118633.1264,8210
11,0,61118634.368,8210
6,0,61118635.2256,8210
12,0,61118636.3392,8210
10,0,61118637.3888,8210
7,0,61118638.3232,8220
11,0,61118639.4496,8220
12,0,61118640.4864,8220
13,0,61118641.5616,8220
11,0,61118642.624,8220
7,0,61118643.584,8220
10,0,61118644.7104,8220
7,0,61118645.6832,8220
12,0,61118646.784,8220
12,0,61118647.9616,8220
11,0,61118648.9088,8230
7,0,61118649.9072,8230
12,0,61118651.008,8230
13,0,61118652.1344,8230
11,0,61118653.184,8230
11,0,61118654.2336,8230
9,0,61118655.3088,8230
14,0,61118656.3456,8230
9,0,61118657.2928,8240
5,0,61118658.56,8240
6,0,61118659.3152,8240
10,0,61118660.4416,8240
8,0,61118661.4016,8240
12,0,61118662.5152,8240
12,0,61118663.5904,8240
10,0,61118664.7552,8240
7,0,61118665.6256,8240
11,0,61118666.7264,8240
12,0,61118667.7888,8250
14,0,61118668.864,8250
12,0,61118669.9136,8250
12,0,61118670.9888,8250
9,0,61118671.9872,8250
6,0,61118672.9856,8250
15,0,61118674.1248,8250
14,0,61118675.1872,8250
11,0,61118676.288,8250
7,0,61118677.2352,8250
11,0,61118678.3232,8260
11,0,61118679.3856,8260
8,0,61118680.4608,8260
12,0,61118681.4592,8260
9,0,61118682.432,8260
12,0,61118683.5328,8260
12,0,61118684.608,8260
8,0,61118685.5808,8260
11,0,61118686.7712,8260
12,0,61118687.7824,8270
11,0,61118688.832,8270
12,0,61118689.8816,8270
13,0,61118690.944,8270
11,0,61118692.032,8270
11,0,61118693.0816,8270
8,0,61118694.08,8270
13,0,61118695.1936,8270
12,0,61118696.2944,8270
12,0,61118697.3312,8280
7,0,61118698.2912,8280
6,0,61118699.328,8280
11,0,61118700.416,8280
10,0,61118701.4528,8280
13,0,61118702.5408,8280
13,0,61118703.616,8280
13,0,61118704.6912,8280
10,0,61118705.7536,8280
