Wheel,LastSyncPulseTime,ArduinoTime,BonsaiTime,RenderFrameCount
962,6012,7517,61303375.232,454
965,6012,7527,61303385.4208,454
968,6012,7537,61303395.7376,455
971,6012,7547,61303405.9392,455
974,6012,7557,61303415.0528,456
977,6012,7567,61303425.3824,457
980,6012,7577,61303435.5584,457
984,6012,7587,61303445.7856,458
986,6012,7597,61303454.9248,458
990,6012,7607,61303465.2544,459
993,6012,7617,61303475.328,459
997,6012,7627,61303485.5808,460
1000,6012,7638,61303495.8848,461
1004,6012,7648,61303506.0352,461
1008,6012,7658,61303516.3392,462
1011,6012,7668,61303526.464,463
1015,6012,7678,61303536.7808,463
1018,6012,7688,61303545.984,464
1022,6012,7698,61303556.0832,464
1026,6012,7708,61303566.3232,465
1030,6012,7718,61303576.5888,466
1034,6012,7728,61303585.792,466
1038,6012,7738,61303596.0448,467
1042,6012,7748,61303606.2336,468
1046,6012,7758,61303616.5248,468
1050,6012,7768,61303625.6768,469
1054,6012,7778,61303635.9424,469
1058,6012,7788,61303646.0928,470
1063,6012,7798,61303656.256,471
1066,6012,7808,61303665.472,471
1071,6012,7818,61303675.6864,472
1075,6012,7828,61303686.016,472
1079,6012,7838,61303696.0768,473
1083,6012,7848,61303706.4448,474
1087,6012,7858,61303715.6352,474
1091,6012,7868,61303725.8496,475
1095,6012,7878,61303736.1152,475
1099,6012,7888,61303746.2912,476
1103,6012,7898,61303755.4432,476
1107,6012,7908,61303765.6192,477
1111,6012,7918,61303775.8976,478
1114,6012,7928,61303786.0608,478
1117,6012,7938,61303795.3024,479
1121,6012,7948,61303805.504,480
1125,6012,7958,61303815.6928,480
1128,6012,7968,61303825.9968,481
1132,6012,7979,61303836.2496,481
1136,6012,7989,61303846.3488,482
1139,6012,7999,61303856.6016,483
1143,6012,8009,61303866.8288,483
1146,6012,8019,61303876.992,484
1149,6012,8029,61303886.208,484
1152,6012,8039,61303896.4096,485
1156,6012,8049,61303906.6496,486
1159,6012,8059,61303916.8,486
1162,6012,8069,61303926.016,487
1165,6012,8079,61303936.2688,487
1168,6012,8089,61303946.4704,488
1171,8098,8099,61303956.6848,489
1174,8098,8109,61303965.8624,489
1177,8098,8119,61303976.1408,490
1180,8098,8129,61303986.2784,490
1183,8098,8139,61303996.5056,491
1186,8098,8150,61304006.8224,492
1189,8098,8160,61304016.9344,492
1192,8098,8170,61304027.2768,493
1195,8098,8180,61304037.4912,494
1198,8098,8190,61304047.5392,494
1200,8098,8200,61304056.768,495
1203,8098,8210,61304066.9824,495
1205,8098,8220,61304077.3504,496
1208,8098,8230,61304087.424,497
