VideoFrameCount,LEDAsync,ArduinoTime,BonsaiTime
29,23508,6924,61534042.7136
30,23183,6955,61534074.6112
31,23599,6985,61534107.1744
32,23379,7035,61534139.0592
33,23381,7065,61534188.416
34,23521,7095,61534220.032
35,23412,7126,61534251.8272
36,23629,7166,61534283.072
37,23582,7216,61534315.7632
38,23508,7246,61534364.0832
39,23521,7276,61534395.9424
40,23493,7306,61534427.4944
41,23395,7356,61534458.752
42,23424,7386,61534506.8032
43,23503,7416,61534540.7872
44,23411,7456,61534571.52
45,23460,7487,61534604.1088
46,23666,7537,61534635.264
47,23186,7567,61534684.2752
48,23602,7597,61534715.7504
49,23393,7627,61534748.352
50,23372,7678,61534779.3408
51,23357,7708,61534827.6224
52,23404,7738,61534859.2128
53,23318,7768,61534891.3408
54,23317,7808,61534922.624
55,23468,7848,61534955.7376
56,23415,7888,61535003.9168
57,23515,7918,61535035.6992
58,23464,7948,61535067.904
59,23584,7999,61535100.1984
60,33261,8029,61535147.4944
61,33128,8059,61535179.2896
62,33290,8089,61535210.9952
63,32911,8129,61535244.7104
64,33232,8170,61535274.9696
65,33199,8210,61535323.8656
66,33227,8240,61535355.6096
67,33272,8270,61535388.6208
68,33071,8320,61535419.3024
69,33121,8350,61535467.6608
70,32904,8380,61535499.8912
71,33252,8410,61535531.8272
72,33180,8450,61535563.9424
73,32812,8491,61535595.5328
74,23499,8521,61535644.3136
75,23240,8561,61535675.5328
76,23314,8591,61535707.6224
77,23397,8641,61535739.3152
78,23547,8672,61535786.9568
79,23379,8702,61535820.7104
80,23360,8732,61535851.6992
81,23514,8762,61535882.3552
82,23407,8812,61535915.1744
83,23512,8842,61535963.6352
84,23420,8882,61535995.712
85,23471,8912,61536027.4688
86,23383,8962,61536059.1744
87,23337,8992,61536107.1104
88,23435,9023,61536139.2256
89,23441,9053,61536172.5824
90,23202,9103,61536203.4048
91,23478,9133,61536252.2624
92,23467,9163,61536283.2896
93,23538,9194,61536316.3264
94,23314,9234,61536347.52
95,23431,9284,61536380.16
96,23484,9314,61536428.0192
97,23404,9344,61536460.672
98,23299,9374,61536492.16
99,23561,9424,61536523.6352
100,23361,9454,61536571.2384
101,23445,9484,61536603.5968
102,23432,9525,61536635.7376
103,23278,9555,61536668.4544
104,23542,9605,61536699.8144
105,23409,9635,61536747.4048
106,23703,9665,61536780.1472
107,23326,9696,61536811.8656
108,23290,9746,61536844.992
109,23348,9776,61536891.0336
110,23558,9806,61536923.0336
111,23556,9836,61536955.648
112,23496,9876,61536986.9952
113,23586,9916,61537020.1856
114,23173,9956,61537067.5584
115,23578,9986,61537099.6096
116,23461,10016,61537132.0064
117,23429,10067,61537163.2768
118,23544,10097,61537212.5312
119,23485,10127,61537243.712
120,23513,10157,61537275.5712
121,23315,10198,61537307.4688
122,23500,10248,61537339.3536
123,23608,10278,61537389.2352
124,23421,10308,61537420.1216
125,23419,10338,61537451.3024
126,23395,10388,61537484.2752
127,23393,10418,61537532.5568
128,23494,10448,61537564.096
129,23285,10478,61537596.2496
130,23426,10518,61537627.2
131,23451,10559,61537659.7504
132,23428,10599,61537707.52
133,23479,10629,61537740.0704
134,23517,10659,61537771.3152
135,23565,10710,61537804.5184
136,23482,10740,61537851.6096
137,23512,10770,61537884.2624
138,23416,10800,61537915.712
139,23427,10840,61537947.5072
140,23412,10880,61537979.8016
141,23277,10910,61538026.9056
142,23458,10950,61538059.9168
143,23369,10980,61538091.456
144,23555,11030,61538125.12
145,23419,11061,61538171.8272
146,23369,11091,61538203.3792
147,23514,11121,61538235.8144
148,23505,11161,61538268.2112
149,23623,11201,61538300.7744
150,23556,11232,61538348.1216
151,23544,11272,61538379.6096
152,23369,11302,61538411.7632
153,23372,11352,61538443.648
154,23580,11382,61538492.736
155,23501,11412,61538523.6096
156,23447,11442,61538556.5568
157,23437,11482,61538587.584
158,23617,11522,61538620.2496
159,23439,11552,61538668.1216
160,23460,11583,61538700.1472
161,23478,11623,61538731.4304
162,23503,11673,61538764.7744
163,23560,11703,61538812.0704
164,23131,11734,61538844.0064
165,23686,11764,61538876.4544
166,23517,11794,61538907.6096
167,23393,11844,61538939.904
168,23469,11874,61538987.84
169,23219,11914,61539019.776
170,27397,11944,61539052.3392
171,32865,11994,61539083.5584
172,33009,12024,61539132.1472
173,33148,12054,61539164.5312
174,33057,12085,61539200.3584
175,33329,12135,61539228.0192
176,33009,12165,61539275.6352
177,33088,12195,61539308.5568
178,33039,12235,61539340.224
179,33117,12266,61539373.248
180,33197,12306,61539404.3904
181,33084,12346,61539451.5456
182,33152,12376,61539485.888
183,32839,12406,61539516.4928
184,29282,12456,61539548.9152
185,23290,12486,61539596.3776
186,23345,12516,61539628.1472
187,23314,12546,61539659.8784
188,23323,12587,61539691.6736
189,23423,12627,61539724.3904
190,23315,12667,61539772.032
191,23458,12697,61539803.9424
192,23386,12727,61539836.3136
193,23359,12778,61539868.5568
194,23388,12808,61539917.0304
195,23374,12838,61539948.2624
196,23376,12868,61539979.9424
197,23359,12908,61540012.2368
198,23430,12948,61540044.416
199,23475,12988,61540091.9168
200,23575,13018,61540123.9936
201,23281,13048,61540155.8528
202,23370,13099,61540189.0816
203,23367,13129,61540235.7248
204,23300,13159,61540268.5824
205,23344,13189,61540300.8512
206,23320,13229,61540332.7744
207,23303,13270,61540364.3648
208,23056,13300,61540411.7632
209,23467,13340,61540444.8
210,23283,13370,61540476.4032
211,23218,13420,61540508.7104
212,23235,13450,61540557.0944
213,23107,13480,61540588.928
214,23111,13510,61540620.416
215,23356,13540,61540653.0432
216,23125,13590,61540683.712
217,23262,13631,61540731.456
218,23194,13661,61540765.44
219,23454,13691,61540795.9296
220,23272,13741,61540828.4032
221,23479,13771,61540875.5072
222,23444,13802,61540908.3264
223,23408,13832,61540940.2496
224,33102,13862,61540971.8144
225,32778,13912,61541003.4944
226,33250,13942,61541052.2624
227,32874,13982,61541083.2
228,33130,14012,61541116.6208
229,33103,14062,61541148.2624
230,33008,14092,61541195.8656
231,33111,14123,61541227.8784
232,33051,14153,61541260.0704
233,33400,14183,61541293.504
234,33311,14233,61541324.1856
235,33536,14263,61541371.8784
236,33581,14294,61541404.1856
237,33106,14334,61541436.0192
238,23893,14384,61541468.6208
239,23997,14414,61541516.416
240,23718,14444,61541548.1216
241,23428,14474,61541580.6336
242,23348,14504,61541611.8016
243,23374,14554,61541645.312
244,23345,14584,61541692.3392
245,23276,14624,61541725.0688
246,23402,14655,61541756.1344
247,23532,14695,61541788.6336
248,23408,14735,61541836.48
249,23366,14765,61541868.6464
250,23520,14795,61541900.4416
251,23462,14846,61541932.7232
252,23481,14876,61541979.2256
253,23568,14906,61542012.5824
254,23458,14936,61542043.6992
255,23540,14976,61542076.3648
256,23310,15026,61542109.312
257,23630,15056,61542156.8
258,23497,15086,61542188.4032
259,23392,15116,61542220.5312
260,23396,15167,61542252.928
261,23575,15197,61542300.1472
262,23527,15227,61542332.6208
263,23604,15257,61542365.2352
264,23716,15297,61542396.9408
265,23550,15338,61542428.2752
266,23701,15378,61542477.0944
267,23753,15408,61542508.1216
268,23441,15438,61542541.6576
269,23584,15488,61542572.8
270,23502,15518,61542620.8896
271,23265,15548,61542652.3904
272,23489,15578,61542685.6192
273,23576,15618,61542716.736
274,23186,15659,61542748.6976
275,23076,15689,61542796.5696
276,23042,15729,61542828.0576
277,22999,15759,61542860.6208
278,23205,15809,61542892.3776
279,23237,15840,61542940.6592
280,23474,15870,61542971.0848
281,24045,15900,61543003.8656
282,25650,15940,61543035.8784
283,26115,15980,61543069.2224
284,24888,16010,61543116.416
285,25343,16050,61543148.4672
286,25193,16080,61543180.6464
287,24654,16130,61543211.8144
288,24780,16160,61543259.9168
289,31682,16191,61543292.032
290,27799,16221,61543327.7568
291,25977,16251,61543356.5696
292,25135,16301,61543388.4032
293,26317,16331,61543436.16
294,26088,16372,61543468.4032
295,25548,16402,61543500.8128
296,26504,16452,61543532.2368
297,28559,16482,61543580.3648
298,26979,16512,61543612.5824
299,25192,16542,61543645.1456
300,26207,16572,61543676.544
301,28949,16622,61543708.0704
302,25101,16662,61543756.5568
303,26704,16693,61543789.2224
304,25949,16723,61543820.2496
305,26431,16773,61543852.5184
306,32638,16803,61543900.3648
307,24615,16833,61543932.9024
308,25594,16864,61543963.9936
309,25189,16894,61543995.5584
310,24027,16944,61544026.9696
311,24945,16974,61544076.5824
312,25250,17014,61544108.9664
313,25833,17044,61544141.7088
314,26058,17094,61544172.4032
315,25513,17124,61544220.352
316,32137,17154,61544252.1728
317,34992,17184,61544284.8384
318,33995,17215,61544316.7104
319,34648,17265,61544348.6464
320,35223,17295,61544395.9424
321,34605,17335,61544429.184
322,33851,17366,61544460.5696
323,33858,17406,61544492.1344
324,33924,17446,61544540.608
325,34737,17476,61544572.6336
326,34506,17506,61544605.0944
327,34253,17536,61544636.0064
328,34099,17586,61544669.0944
329,34548,17616,61544715.9936
330,26677,17646,61544749.2608
331,23791,17686,61544780.3776
332,23880,17727,61544812.416
333,23672,17767,61544860.6336
334,24224,17797,61544892.2496
335,24439,17827,61544924.0832
336,24472,17878,61544957.2224
337,24268,17908,61545003.8016
338,23964,17938,61545035.4176
339,24153,17968,61545068.9664
340,23729,18008,61545101.3888
341,23749,18048,61545132.8
342,23980,18088,61545180.7104
343,24113,18118,61545212.7872
344,24186,18148,61545244.7872
345,24135,18198,61545276.6976
346,24398,18229,61545325.0688
347,24105,18259,61545357.3632
348,24131,18289,61545389.9008
349,24113,18319,61545421.44
350,24108,18369,61545452.2368
351,23929,18410,61545500.6592
352,24080,18440,61545533.4656
353,24152,18470,61545564.6208
354,23740,18520,61545597.2608
355,23401,18550,61545645.6192
356,23466,18580,61545676.8
357,23474,18610,61545709.2864
358,23530,18650,61545740.3392
359,23743,18690,61545772.48
360,23919,18731,61545820.032
361,23802,18761,61545853.568
362,23879,18791,61545884.416
363,23939,18841,61545916.9024
364,24193,18871,61545964.6336
365,24177,18902,61545996.672
366,24237,18932,61546027.9296
367,24659,18962,61546059.9552
368,25721,19012,61546092.9408
369,25795,19042,61546140.224
370,25357,19082,61546172.6592
371,24328,19112,61546204.5312
372,24396,19162,61546236.0704
373,24432,19192,61546284.2496
374,23719,19222,61546316.6464
375,23354,19253,61546349.7088
376,23359,19283,61546380.8256
377,23436,19333,61546412.8128
378,24141,19363,61546460.4928
379,24026,19403,61546492.608
380,23924,19434,61546525.76
381,23519,19484,61546556.864
382,23488,19514,61546604.9792
383,23410,19544,61546636.8896
384,23473,19574,61546668.9664
385,23328,19604,61546700.4928
386,23421,19654,61546733.4272
387,23431,19684,61546780.2496
388,23167,19724,61546813.1072
389,23194,19755,61546844.8128
390,23283,19805,61546877.2096
391,23115,19835,61546924.7232
392,23200,19865,61546957.248
393,23418,19895,61546989.9776
394,23151,19926,61547021.9776
395,23471,19976,61547052.4928
396,23394,20006,61547099.648
397,23243,20036,61547133.0944
398,27926,20076,61547164.2368
399,33140,20116,61547196.5568
400,33206,20156,61547244.544
401,33022,20186,61547277.4528
402,33145,20216,61547309.0048
403,33075,20246,61547341.4528
404,33116,20297,61547373.248
405,33401,20327,61547421.312
406,32967,20367,61547452.8128
407,33216,20397,61547486.1568
408,32892,20438,61547516.9792
409,33017,20468,61547565.4272
410,33175,20508,61547596.7744
411,33042,20538,61547628.8
412,28891,20568,61547660.9024
413,23605,20618,61547693.824
414,23433,20648,61547741.6576
415,23250,20678,61547772.8128
416,23143,20718,61547804.6848
417,23328,20758,61547837.7216
418,23357,20799,61547884.7104
419,23452,20829,61547917.76
420,23189,20859,61547949.3632
421,23253,20909,61547982.6688
422,23138,20939,61548028.5824
423,23107,20970,61548061.5296
424,23277,21000,61548092.0192
425,23180,21030,61548124.3392
426,23250,21080,61548155.84
427,23084,21110,61548204.7104
428,23104,21150,61548235.9936
429,23430,21180,61548269.1456
430,23696,21230,61548300.7616
431,23965,21260,61548349.6448
432,23983,21291,61548380.3904
433,23808,21321,61548413.3888
434,23711,21361,61548445.2096
435,23458,21401,61548477.8368
436,23861,21431,61548524.3392
437,31435,21472,61548557.184
438,25944,21502,61548589.0048
439,25429,21552,61548621.1712
440,25025,21582,61548668.736
441,24412,21612,61548701.1456
442,24765,21642,61548733.0304
443,24292,21672,61548765.6832
444,24442,21722,61548797.2096
445,24619,21762,61548845.184
446,24396,21792,61548877.2224
447,24283,21823,61548909.1456
448,24075,21873,61548940.416
449,23968,21903,61548990.0416
450,24276,21933,61549022.5536
451,25007,21963,61549052.6848
452,25424,21994,61549083.7504
453,26142,22044,61549116.6976
454,25444,22074,61549163.6864
455,24822,22104,61549197.2608
456,24838,22144,61549228.6208
457,25605,22194,61549260.1472
458,25434,22224,61549308.6336
459,25571,22254,61549340.4928
460,26270,22284,61549373.6192
461,25913,22315,61549404.8256
462,25120,22365,61549436.672
463,24652,22395,61549485.8752
464,24553,22435,61549517.2096
465,24874,22465,61549550.2848
466,25991,22506,61549581.7856
467,25243,22546,61549629.6832
468,24416,22576,61549661.0048
469,24200,22606,61549692.6848
470,24465,22636,61549725.3376
471,24807,22686,61549757.76
472,25007,22716,61549804.5312
473,25332,22746,61549837.0944
474,25582,22786,61549868.8896
475,24780,22827,61549901.7984
476,24086,22867,61549948.8384
477,24769,22897,61549981.824
478,25549,22927,61550013.0432
479,25236,22957,61550045.7984
480,25226,23008,61550076.8896
481,25693,23038,61550124.1728
482,25888,23068,61550156.608
483,24346,23098,61550188.9792
484,24190,23148,61550220.5952
485,25102,23188,61550269.0048
