VideoFrameCount,LEDAsync,ArduinoTime,BonsaiTime
309,211559,16432,62721919.0528
310,211721,16482,62721966.6816
311,176348,16512,62721999.3984
312,99489,16542,62722031.5264
313,99497,16582,62722063.1936
314,99856,16612,62722093.2864
315,99621,16662,62722142.5792
316,118522,16693,62722174.1184
317,105155,16723,62722206.2208
318,99374,16753,62722237.5424
319,99000,16803,62722286.4768
320,99230,16833,62722317.4144
321,99484,16864,62722350.5024
322,100370,16894,62722381.9392
323,101164,16934,62722414.1312
324,99484,16984,62722462.5152
325,99094,17014,62722494.848
326,99275,17044,62722526.5664
327,99110,17074,62722559.1168
328,99355,17124,62722607.232
329,99968,17154,62722639.3728
330,99122,17184,62722671.9744
331,98856,17215,62722702.592
332,99098,17255,62722735.7568
333,98605,17295,62722782.3744
334,98819,17335,62722816.2688
335,98928,17366,62722846.4
336,99174,17396,62722879.7696
337,99359,17446,62722926.7712
338,99435,17476,62722958.7328
339,98917,17506,62722990.784
340,98903,17546,62723023.3088
341,98833,17576,62723054.5664
342,98866,17626,62723104.1024
343,98637,17656,62723133.5296
344,98627,17686,62723166.7456
345,98674,17717,62723198.1312
346,98666,17767,62723246.528
347,98874,17797,62723278.4384
348,98609,17827,62723309.9136
349,98682,17857,62723342.4768
350,98481,17898,62723374.4896
351,98446,17938,62723422.2976
352,97841,17978,62723455.8592
353,98213,18008,62723486.6176
354,98472,18048,62723532.9792
355,98391,18088,62723568.64
356,98433,18118,62723599.808
357,98504,18148,62723631.5136
358,98781,18198,62723681.088
359,98462,18219,62723698.2784
360,98822,18259,62723742.4384
361,98639,18289,62723774.5536
362,98635,18329,62723806.7584
363,98909,18359,62723838.7968
364,98743,18420,62723899.6992
365,98600,18440,62723921.8816
366,98707,18470,62723950.5408
367,98622,18500,62723982.3488
368,99069,18540,62724015.3216
369,98597,18580,62724062.8224
370,98774,18620,62724095.1424
371,99178,18650,62724126.8736
372,99301,18680,62724158.6048
373,99516,18731,62724205.9648
374,99362,18761,62724237.7344
375,99054,18791,62724270.272
376,98948,18821,62724301.696
377,209047,18871,62724350.1568
378,211750,18902,62724384
379,211630,18932,62724415.0912
380,212167,18972,62724446.8352
381,211254,19002,62724478.1568
382,212039,19052,62724527.1296
383,211921,19082,62724559.3088
384,212116,19112,62724593.3056
385,211761,19142,62724622.4768
386,211977,19192,62724670.7712
387,211951,19222,62724703.232
388,211925,19253,62724734.4128
389,211706,19293,62724766.6944
390,211785,19323,62724798.7328
391,102401,19373,62724846.0928
392,99295,19403,62724878.8352
393,99886,19434,62724910.8352
394,99869,19464,62724942.4128
395,99731,19514,62724990.7072
396,99624,19544,62725023.04
397,99179,19574,62725054.4768
398,99743,19614,62725086.7584
399,100042,19644,62725119.4368
400,101023,19694,62725166.208
401,100662,19724,62725198.1696
402,100680,19755,62725230.4
403,131682,19785,62725262.5792
404,111121,19835,62725310.2976
405,99486,19865,62725344.2048
406,99738,19895,62725374.2464
407,99452,19926,62725406.6688
408,100030,19966,62725439.1552
409,100720,20016,62725486.5664
410,100008,20046,62725518.3104
411,99386,20076,62725551.2064
412,101667,20106,62725582.72
413,99503,20156,62725630.6304
414,99790,20186,62725662.3104
415,99577,20216,62725695.3088
416,99480,20256,62725726.8096
417,99895,20287,62725758.3616
418,99473,20337,62725808.896
419,99776,20367,62725840.896
420,99777,20397,62725870.912
421,99142,20427,62725903.1168
422,99579,20478,62725950.2464
423,99340,20508,62725983.5264
424,99343,20538,62726014.848
425,99326,20568,62726046.6432
426,99454,20608,62726079.0272
427,99611,20658,62726126.9632
428,99303,20688,62726159.296
429,99042,20718,62726190.7712
430,98865,20748,62726223.1552
431,99542,20799,62726269.7216
432,102713,20829,62726302.6048
433,99128,20859,62726333.9392
434,99456,20889,62726366.592
435,99091,20929,62726399.3216
436,98964,20970,62726447.5264
437,98981,21010,62726479.0912
438,98880,21040,62726511.3344
439,98930,21070,62726543.0144
440,98898,21120,62726591.1296
441,98810,21150,62726623.5392
442,98988,21180,62726654.8224
