Photodiode,AsyncPulse,BonsaiTime
74,1,49958598.72
82,1,49958599.744
66,1,49958600.832
68,1,49958601.8688
77,1,49958602.944
77,1,49958604.032
77,1,49958605.0816
73,1,49958606.1568
74,1,49958607.2448
69,1,49958608.2816
66,1,49958609.344
81,1,49958610.4704
80,1,49958611.5712
72,1,49958612.6208
80,1,49958613.6832
75,1,49958614.6688
71,1,49958615.8848
75,1,49958616.8064
81,1,49958617.8688
72,1,49958618.9184
71,1,49958620.0064
76,1,49958621.0432
61,1,49958622.1184
84,1,49958623.1808
82,1,49958624.2432
82,1,49958625.3184
68,1,49958626.4192
75,1,49958627.4688
75,1,49958628.5184
73,1,49958629.6192
74,1,49958630.656
64,1,49958631.744
61,1,49958632.7808
61,1,49958633.8432
68,1,49958634.9184
74,1,49958635.9808
65,1,49958637.0304
66,1,49958638.1056
78,1,49958639.1808
67,1,49958640.2432
60,1,49958641.2928
80,1,49958642.4064
82,1,49958643.4688
73,1,49958644.5312
73,1,49958645.6192
75,1,49958646.7584
73,1,49958647.7312
83,1,49958648.768
81,1,49958649.8176
68,1,49958650.88
81,1,49958651.968
69,1,49958653.0176
61,1,49958654.08
60,1,49958655.1552
70,1,49958656.2176
75,1,49958657.2928
78,1,49958658.3552
76,1,49958659.4688
67,1,49958660.5184
84,1,49958661.568
82,1,49958662.6688
76,1,49958663.6928
78,1,49958664.7424
81,1,49958665.792
66,1,49958666.88
82,1,49958667.9168
74,1,49958669.0048
74,1,49958670.0672
64,1,49958671.1424
75,1,49958672.2304
76,1,49958673.2544
66,1,49958674.3296
73,1,49958675.4176
80,1,49958676.4672
71,1,49958677.5168
68,1,49958678.6304
69,1,49958679.7696
73,1,49958680.7296
75,1,49958681.7792
80,1,49958682.8672
76,1,49958683.9296
77,1,49958684.9792
69,1,49958686.08
80,1,49958687.1296
77,1,49958688.1664
66,1,49958689.2416
72,1,49958690.304
68,1,49958691.4176
67,1,49958692.48
84,1,49958693.5168
74,1,49958694.5792
62,1,49958695.68
82,1,49958696.704
78,1,49958697.7536
68,1,49958698.8416
75,1,49958699.904
72,1,49958700.9536
66,1,49958702.4768
75,1,49958703.0912
81,1,49958704.1664
79,1,49958705.216
77,1,49958706.2912
72,1,49958707.3536
67,1,49958708.48
74,1,49958709.5168
82,1,49958710.5792
75,1,49958711.7312
70,1,49958712.6656
76,1,49958713.7536
77,1,49958714.8032
66,1,49958715.8656
72,1,49958716.9408
73,1,49958718.016
61,1,49958719.0656
66,1,49958720.1408
67,1,49958721.2032
66,1,49958722.2656
63,1,49958723.328
70,1,49958724.4288
82,1,49958725.4784
68,1,49958726.528
62,1,49958727.6288
76,1,49958728.6784
68,1,49958729.7024
68,1,49958730.7904
70,1,49958731.8528
68,1,49958732.9408
68,1,49958733.9904
72,1,49958735.0528
80,1,49958736.128
78,1,49958737.1776
66,1,49958738.2528
67,1,49958739.3152
80,1,49958740.3776
73,1,49958741.4784
67,1,49958742.528
76,1,49958743.6416
75,1,49958744.7296
66,1,49958745.7152
62,1,49958746.7776
81,1,49958747.8784
80,1,49958748.9024
67,1,49958749.9648
74,1,49958751.0272
75,1,49958752.1024
62,1,49958753.1648
80,1,49958754.24
80,1,49958755.3024
69,1,49958756.3648
76,1,49958757.4272
77,1,49958758.528
80,1,49958759.6288
78,1,49958760.6784
66,1,49958761.7024
75,1,49958762.816
69,1,49958763.84
65,1,49958764.9152
73,1,49958765.9648
68,1,49958767.0144
58,1,49958768.064
62,1,49958769.152
76,1,49958770.2272
71,1,49958771.2768
66,1,49958772.352
78,1,49958773.4272
61,1,49958774.528
66,1,49958775.5904
81,1,49958776.6272
73,1,49958777.6768
67,1,49958778.7392
80,1,49958779.8016
70,1,49958780.864
67,1,49958781.9392
74,1,49958782.9888
82,1,49958784.0768
69,1,49958785.1392
59,1,49958786.2144
74,1,49958787.2896
80,1,49958788.352
67,1,49958789.4272
75,1,49958790.4896
77,1,49958791.6032
70,1,49958792.64
83,1,49958793.6768
81,1,49958794.7392
78,1,49958795.7888
74,1,49958796.864
68,1,49958797.9392
82,1,49958798.9888
74,1,49958800.0512
61,1,49958801.1136
78,1,49958802.1888
68,1,49958803.2512
72,1,49958804.3136
67,1,49958805.3632
64,1,49958806.4896
80,1,49958807.552
80,1,49958808.64
71,1,49958809.6768
74,1,49958810.7136
77,1,49958811.8016
68,1,49958812.8512
69,1,49958813.9264
82,1,49958814.976
71,1,49958816.0512
58,1,49958817.1008
81,1,49958818.176
64,1,49958819.2384
63,1,49958820.3136
84,1,49958821.3888
72,1,49958822.4384
58,1,49958823.5904
76,1,49958824.5888
68,1,49958825.6768
73,1,49958826.688
64,1,49958827.776
71,1,49958828.864
83,1,49958829.9008
61,1,49958830.9504
77,1,49958832.0512
72,1,49958833.1008
67,1,49958834.1632
67,1,49958835.2384
64,1,49958836.3008
67,1,49958837.3632
74,1,49958838.4384
75,1,49958839.552
79,1,49958840.5888
73,1,49958841.7792
63,1,49958842.6752
83,1,49958843.7632
77,1,49958844.8128
69,1,49958845.9136
75,1,49958847.0144
64,1,49958848.0256
73,1,49958849.088
69,1,49958850.1376
62,1,49958851.264
77,1,49958852.3008
67,1,49958853.3504
64,1,49958854.4384
71,1,49958855.5136
69,1,49958856.5376
61,1,49958857.6384
74,1,49958858.688
77,1,49958859.7504
78,1,49958860.8128
66,1,49958861.9136
64,1,49958862.9632
64,1,49958864
75,1,49958865.1392
72,1,49958866.1376
69,1,49958867.1872
74,1,49958868.2624
58,1,49958869.3376
64,1,49958870.4
76,1,49958871.5008
70,1,49958872.5504
65,1,49958873.6
74,1,49958874.688
69,1,49958875.7248
67,1,49958876.8
81,1,49958877.8496
63,1,49958878.9376
65,1,49958879.9744
65,1,49958881.0624
80,1,49958882.112
67,1,49958883.1872
60,1,49958884.2368
66,1,49958885.4528
74,1,49958886.3872
83,1,49958887.488
77,1,49958888.5504
66,1,49958889.6
71,1,49958890.688
73,1,49958891.7376
69,1,49958892.8
77,1,49958893.8496
70,1,49958894.8992
63,1,49958895.9872
77,1,49958897.0368
68,1,49958898.0992
65,1,49958899.1744
75,1,49958900.224
68,1,49958901.3376
80,1,49958902.3616
79,1,49958903.5392
66,1,49958904.4992
78,1,49958905.5488
73,1,49958906.6496
75,1,49958907.712
85,1,49958908.7488
75,1,49958909.824
71,1,49958910.8864
72,1,49958911.9744
67,1,49958913.0368
83,1,49958914.0864
81,1,49958915.1616
79,1,49958916.2368
77,1,49958917.3632
80,1,49958918.3616
64,1,49958919.5008
81,1,49958920.4992
80,1,49958921.5872
72,1,49958922.6496
74,1,49958923.712
83,1,49958924.7616
81,1,49958925.8112
66,1,49958926.8864
80,1,49958927.936
71,1,49958929.024
81,1,49958930.0608
76,1,49958931.136
69,1,49958932.2368
75,1,49958933.2608
82,1,49958934.4512
75,1,49958935.3856
68,1,49958936.5504
67,1,49958937.5616
71,1,49958938.6496
82,1,49958939.7248
81,1,49958940.8384
68,1,49958941.8368
76,1,49958942.8736
64,1,49958943.936
83,1,49958945.0112
68,1,49958946.0736
67,1,49958947.1232
73,1,49958948.1984
67,1,49958949.2608
79,1,49958950.336
82,1,49958951.3856
68,1,49958952.5504
71,1,49958953.5616
74,1,49958954.6112
68,1,49958955.712
74,1,49958956.7104
83,1,49958957.7856
59,1,49958958.8352
74,1,49958959.9232
78,1,49958960.9728
72,1,49958962.112
68,1,49958963.1232
65,1,49958964.1984
63,1,49958965.2608
81,1,49958966.3104
81,1,49958967.3856
66,1,49958968.4608
